state,district,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20
Alabama,1,3989,4127,4220,4338,4486,4564,4785,4935,5032,5221,5490,5618,5729,5861
Alabama,2,6337,6511,6665,6798,6952,6976,7155,7248,7330,7477,7663,7834,8008,8106
Alabama,3,3783,3905,4031,4103,4182,4220,4486,4599,4688,4870,5093,5240,5366,5506
Alabama,4,5107,5289,5555,5753,5925,5993,6218,6341,6501,6702,7004,7118,7230,7362
Alabama,5,2249,2350,2504,2631,2710,2747,2924,2998,3128,3261,3519,3667,3789,3892
Alabama,6,2987,3089,3219,3360,3470,3526,3814,3953,4093,4212,4458,4601,4823,4993
Alabama,7,6222,6357,6562,6737,6884,6942,7304,7466,7674,7865,8139,8285,8510,8660
Alaska,1,751,780,804,824,842,871,892,928,966,1005,1050,1096,1123,1151
Arizona,1,9211,9411,9688,9911,10070,10512,10624,10907,11250,11470,11844,11990,12242,12445
Arizona,2,4031,4175,4337,4549,4726,5008,5053,5344,5614,5747,6043,6244,6477,6661
Arizona,3,8658,8937,9337,9729,10088,10497,10609,11217,11764,12138,12606,12999,13475,13796
Arizona,4,4970,5128,5387,5622,5834,6091,6247,6573,6875,7172,7510,7698,7978,8188
Arizona,5,6302,6509,6907,7370,7882,8363,8403,9038,9721,10185,10775,11128,11587,12074
Arizona,6,6302,6509,6907,7370,7882,8363,8403,9038,9721,10185,10775,11128,11587,12074
Arizona,7,6302,6509,6907,7370,7882,8363,8403,9038,9721,10185,10775,11128,11587,12074
Arizona,8,6302,6509,6907,7370,7882,8363,8403,9038,9721,10185,10775,11128,11587,12074
Arizona,9,6302,6509,6907,7370,7882,8363,8403,9038,9721,10185,10775,11128,11587,12074
Arkansas,1,4635,4702,4828,4907,4989,5066,5122,5169,5330,5436,5553,5647,5714,5779
Arkansas,2,2235,2334,2401,2536,2652,2743,2826,2993,3076,3242,3347,3476,3606,3683
Arkansas,3,5618,5835,6062,6586,6837,7047,7230,7469,7578,7879,8100,8268,8475,8634
Arkansas,4,3507,3773,3836,4012,4099,4250,4348,4426,4507,4781,4839,4931,5112,5192
California,1,459,482,580,681,737,743,807,813,876,916,920,952,964,970
California,2,1934,2082,2199,2278,2389,2612,2900,2909,3120,3194,3479,3530,3530,3620
California,3,1256,1319,1388,1444,1469,1503,1589,1608,1907,2018,2018,2093,2156,2183
California,4,839,870,911,940,957,978,1035,1072,1158,1231,1259,1327,1374,1409
California,5,1409,1457,1489,1539,1542,1607,1683,1717,1880,1954,1987,2088,2097,2179
California,6,1183,1219,1257,1335,1340,1396,1508,1609,1701,1783,1783,1995,2118,2118
California,7,1175,1208,1243,1320,1320,1374,1487,1595,1682,1762,1762,1982,2097,2097
California,8,3360,3491,3610,3783,3781,3854,3953,4202,4267,4400,4573,4577,4987,5129
California,9,2321,2466,2579,2705,2752,2774,2951,3393,3458,3752,3898,3929,3950,3987
California,10,2418,2543,2664,2774,2851,2966,3070,3225,3386,3573,3621,3761,3890,3890
California,11,1644,1690,1726,1793,1801,1877,1991,2098,2176,2228,2299,2388,2454,2598
California,12,2810,2836,2878,2968,3028,3066,3109,3145,3185,3247,3296,3296,3296,3485
