state,district,deaths
Alabama,1,156
Alabama,2,129
Alabama,3,182
Alabama,4,77
Alabama,5,15
Alabama,6,95
Alabama,7,200
Alaska,1,11
Arizona,1,311
Arizona,2,152
Arizona,3,175
Arizona,4,141
Arizona,5,123
Arizona,6,123
Arizona,7,123
Arizona,8,123
Arizona,9,123
Arkansas,1,66
Arkansas,2,64
Arkansas,3,44
Arkansas,4,63
California,1,8
California,2,25
California,3,39
California,4,12
California,5,20
California,6,36
California,7,33
California,8,79
California,9,47
California,10,50
California,11,42
California,12,42
California,13,56
California,14,93
California,15,54
California,16,37
California,17,59
California,18,63
California,19,61
California,20,18
California,21,64
California,22,111
California,23,88
California,24,28
California,25,196
California,26,39
California,27,220
California,28,228
California,29,228
California,30,225
California,31,81
California,32,228
California,33,228
California,34,228
California,35,112
California,36,138
California,37,228
California,38,223
California,39,111
California,40,228
California,41,138
California,42,138
California,43,228
California,44,228
California,45,64
California,46,64
California,47,159
California,48,64
California,49,74
California,50,85
California,51,126
California,52,77
California,53,77
Colorado,1,425
Colorado,2,144
Colorado,3,72
Colorado,4,254
Colorado,5,142
Colorado,6,363
Colorado,7,265
Connecticut,1,1038
Connecticut,2,394
Connecticut,3,889
Connecticut,4,1063
Connecticut,5,896
Delaware,1,504
Florida,1,67
Florida,2,54
Florida,3,58
Florida,4,40
Florida,5,54
Florida,6,65
Florida,7,28
Florida,8,33
Florida,9,65
Florida,10,31
Florida,11,48
Florida,12,49
Florida,13,98
Florida,14,67
Florida,15,74
Florida,16,196
Florida,17,168
Florida,18,162
Florida,19,161
Florida,20,184
Florida,21,251
Florida,22,168
Florida,23,161
Florida,24,240
Florida,25,236
Florida,26,230
Florida,27,252
Georgia,1,77
Georgia,2,484
Georgia,3,211
Georgia,4,139
Georgia,5,211
Georgia,6,215
Georgia,7,125
Georgia,8,215
Georgia,9,141
Georgia,10,234
Georgia,11,208
Georgia,12,118
Georgia,13,197
Georgia,14,78
Hawaii,1,8
Hawaii,2,9
Idaho,1,39
Idaho,2,50
Illinois,1,572
Illinois,2,552
Illinois,3,571
Illinois,4,608
Illinois,5,585
Illinois,6,374
Illinois,7,608
Illinois,8,481
Illinois,9,608
Illinois,10,456
Illinois,11,332
Illinois,12,232
Illinois,13,86
Illinois,14,278
Illinois,15,66
Illinois,16,117
Illinois,17,96
Illinois,18,63
Indiana,1,274
Indiana,2,110
Indiana,3,141
Indiana,4,243
Indiana,5,349
Indiana,6,265
Indiana,7,533
Indiana,8,107
Indiana,9,326
Iowa,1,229
Iowa,2,167
Iowa,3,218
Iowa,4,74
Kansas,1,42
Kansas,2,30
Kansas,3,159
Kansas,4,28
Kentucky,1,124
Kentucky,2,71
Kentucky,3,181
Kentucky,4,103
Kentucky,5,27
Kentucky,6,31
Louisiana,1,636
Louisiana,2,925
