state,district,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020
Alabama,1,38,42,45,45,46,46,47
Alabama,2,6,8,9,9,11,11,12
Alabama,3,50,60,62,65,69,69,73
Alabama,4,18,21,20,20,21,21,22
Alabama,5,10,10,9,9,8,8,8
Alabama,6,21,21,25,26,27,27,29
Alabama,7,20,21,26,28,28,28,29
Alaska,1,5,5,5,5,5,5,5
Arizona,1,55,57,62,61,69,73,73
Arizona,2,34,38,40,41,44,45,45
Arizona,3,23,27,28,30,31,32,32
Arizona,4,7,9,10,10,10,10,11
Arizona,5,14,15,18,21,22,23,23
Arizona,6,14,15,18,21,22,23,23
Arizona,7,14,15,18,21,22,23,23
Arizona,8,14,15,18,21,22,23,23
Arizona,9,14,15,18,21,22,23,23
Arkansas,1,13,13,13,13,13,13,13
Arkansas,2,18,19,19,19,21,21,21
Arkansas,3,0,0,0,2,2,3,3
Arkansas,4,10,10,10,11,11,11,14
California,1,6,6,6,6,7,7,7
California,2,11,11,11,12,13,13,13
California,3,12,13,14,17,18,18,18
California,4,7,7,7,7,7,7,7
California,5,6,6,6,6,6,6,7
California,6,18,18,19,22,22,22,22
California,7,17,17,18,20,20,20,20
California,8,21,23,23,26,28,28,29
California,9,17,18,19,21,22,22,24
California,10,9,9,10,11,12,12,12
California,11,15,15,15,15,15,17,19
California,12,17,17,18,18,19,19,19
California,13,20,20,20,21,22,24,24
California,14,26,26,36,36,37,37,37
California,15,19,20,20,21,22,24,24
California,16,7,7,7,7,7,7,7
California,17,29,29,33,33,35,35,35
California,18,30,30,34,35,36,37,37
California,19,33,33,37,38,39,39,40
California,20,9,9,9,9,9,9,9
California,21,5,5,6,6,6,7,7
California,22,16,16,21,21,23,26,26
California,23,11,11,14,14,16,17,17
California,24,5,5,6,6,7,8,8
California,25,39,42,46,50,53,56,57
California,26,12,12,12,15,15,15,15
California,27,43,46,51,55,59,62,63
California,28,45,48,53,57,61,64,66
California,29,45,48,53,57,61,64,66
California,30,44,47,52,57,60,64,65
California,31,21,23,23,27,28,28,28
California,32,45,48,53,57,61,64,66
California,33,45,48,53,57,61,64,66
California,34,45,48,53,57,61,64,66
California,35,25,28,29,33,35,35,36
California,36,27,27,30,32,36,36,38
California,37,45,48,53,57,61,64,66
