"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"02013","00","Aleutians East Borough AK",3141,1 
"02016","00","Aleutians West Census Area AK",5561,1 
"02020","00","Anchorage Borough AK",291826,1 
"02050","00","Bethel Census Area AK",17013,1 
"02060","00","Bristol Bay Borough AK",997,1 
"02068","00","Denali Borough AK",1826,1 
"02070","00","Dillingham Census Area AK",4847,1 
"02090","00","Fairbanks North Star Borough AK",97581,1 
"02100","00","Haines Borough AK",2508,1 
"02105","00","Hoonah-Angoon Census Area",2150,1 
"02110","00","Juneau Borough AK",31275,1 
"02122","00","Kenai Peninsula Borough AK",55400,1 
"02130","00","Ketchikan Gateway Borough AK",13477,1 
"02150","00","Kodiak Island Borough AK",13592,1 
"02158","00","Kusilvak Census Area (N)",7459,1 
"02164","00","Lake and Peninsula Borough AK",1631,1 
"02170","00","Matanuska-Susitna Borough AK",88995,1 
"02180","00","Nome Census Area AK",9492,1 
"02185","00","North Slope Borough AK",9430,1 
"02188","00","Northwest Arctic Borough AK",7523,1 
"02195","00","Petersburg Census Area",3815,1 
"02198","00","Prince of Wales-Hyder Census Area",5559,1 
"02220","00","Sitka Borough AK",8881,1 
"02230","00","Skagway Municipality",968,1 
"02240","00","Southeast Fairbanks Census Area AK",7029,1 
"02261","00","Valdez-Cordova Census Area AK",9636,1 
"02275","00","Wrangell City and Borough",2369,1 
"02282","00","Yakutat Borough",662,1 
"02290","00","Yukon-Koyukuk Census Area AK",5588,1 
