"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"01001","02","Autauga AL",54571,1 
"01003","01","Baldwin AL",182265,1 
"01005","02","Barbour AL",27457,1 
"01007","06","Bibb AL",22915,1 
"01009","04","Blount AL",4892,0.085 
"01009","06","Blount AL",52430,0.915 
"01011","02","Bullock AL",10914,1 
"01013","02","Butler AL",20947,1 
"01015","03","Calhoun AL",118572,1 
"01017","03","Chambers AL",34215,1 
"01019","03","Cherokee AL",24215,0.932 
"01019","04","Cherokee AL",1774,0.068 
"01021","06","Chilton AL",43643,1 
"01023","07","Choctaw AL",13859,1 
"01025","01","Clarke AL",8595,0.333 
"01025","07","Clarke AL",17238,0.667 
"01027","03","Clay AL",13932,1 
"01029","03","Cleburne AL",14972,1 
"01031","02","Coffee AL",49948,1 
"01033","04","Colbert AL",54428,1 
"01035","02","Conecuh AL",13228,1 
"01037","06","Coosa AL",11539,1 
"01039","02","Covington AL",37765,1 
"01041","02","Crenshaw AL",13906,1 
"01043","04","Cullman AL",80406,1 
"01045","02","Dale AL",50251,1 
"01047","07","Dallas AL",43820,1 
"01049","04","DeKalb AL",71109,1 
"01051","02","Elmore AL",79303,1 
"01053","01","Escambia AL",38319,1 
"01055","04","Etowah AL",104430,1 
"01057","04","Fayette AL",17241,1 
"01059","04","Franklin AL",31704,1 
"01061","02","Geneva AL",26790,1 
"01063","07","Greene AL",9045,1 
"01065","07","Hale AL",15760,1 
"01067","02","Henry AL",17302,1 
"01069","02","Houston AL",101547,1 
"01071","04","Jackson AL",200,0.004 
"01071","05","Jackson AL",53027,0.996 
"01073","06","Jefferson AL",357207,0.542 
"01073","07","Jefferson AL",301259,0.458 
"01075","04","Lamar AL",14564,1 
"01077","05","Lauderdale AL",92709,1 
"01079","04","Lawrence AL",34339,1 
"01081","03","Lee AL",140247,1 
"01083","05","Limestone AL",82782,1 
"01085","07","Lowndes AL",11299,1 
"01087","03","Macon AL",21452,1 
"01089","05","Madison AL",334811,1 
"01091","07","Marengo AL",21027,1 
"01093","04","Marion AL",30776,1 
"01095","04","Marshall AL",93019,1 
"01097","01","Mobile AL",412992,1 
"01099","01","Monroe AL",23068,1 
"01101","02","Montgomery AL",145992,0.637 
"01101","03","Montgomery AL",31854,0.139 
"01101","07","Montgomery AL",51517,0.225 
"01103","05","Morgan AL",119490,1 
"01105","07","Perry AL",10591,1 
"01107","07","Pickens AL",19746,1 
"01109","02","Pike AL",32899,1 
"01111","03","Randolph AL",22913,1 
"01113","03","Russell AL",52947,1 
"01115","03","St. Clair AL",83593,1 
"01117","06","Shelby AL",195085,1 
"01119","07","Sumter AL",13763,1 
"01121","03","Talladega AL",82291,1 
"01123","03","Tallapoosa AL",41616,1 
"01125","04","Tuscaloosa AL",52430,0.269 
"01125","07","Tuscaloosa AL",142226,0.731 
"01127","04","Walker AL",67023,1 
"01129","01","Washington AL",17581,1 
"01131","07","Wilcox AL",11670,1 
"01133","04","Winston AL",24484,1 
