"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"05001","01","Arkansas AR",19019,1 
"05003","04","Ashley AR",21853,1 
"05005","01","Baxter AR",41513,1 
"05007","03","Benton AR",221339,1 
"05009","03","Boone AR",36903,1 
"05011","04","Bradley AR",11508,1 
"05013","04","Calhoun AR",5368,1 
"05015","03","Carroll AR",27446,1 
"05017","01","Chicot AR",11800,1 
"05019","04","Clark AR",22995,1 
"05021","01","Clay AR",16083,1 
"05023","01","Cleburne AR",25970,1 
"05025","04","Cleveland AR",8689,1 
"05027","04","Columbia AR",24552,1 
"05029","02","Conway AR",21273,1 
"05031","01","Craighead AR",96443,1 
"05033","03","Crawford AR",44616,0.72 
"05033","04","Crawford AR",17332,0.28 
"05035","01","Crittenden AR",50902,1 
"05037","01","Cross AR",17870,1 
"05039","04","Dallas AR",8116,1 
"05041","01","Desha AR",13008,1 
"05043","04","Drew AR",18509,1 
"05045","02","Faulkner AR",113237,1 
"05047","04","Franklin AR",18125,1 
"05049","01","Fulton AR",12245,1 
"05051","04","Garland AR",96024,1 
"05053","04","Grant AR",17853,1 
"05055","01","Greene AR",42090,1 
"05057","04","Hempstead AR",22609,1 
"05059","04","Hot Spring AR",32923,1 
"05061","04","Howard AR",13789,1 
"05063","01","Independence AR",36647,1 
"05065","01","Izard AR",13696,1 
"05067","01","Jackson AR",17997,1 
"05069","01","Jefferson AR",2679,0.035 
"05069","04","Jefferson AR",74756,0.965 
"05071","04","Johnson AR",25540,1 
"05073","04","Lafayette AR",7645,1 
"05075","01","Lawrence AR",17415,1 
"05077","01","Lee AR",10424,1 
"05079","01","Lincoln AR",14134,1 
"05081","04","Little River AR",13171,1 
"05083","04","Logan AR",22353,1 
"05085","01","Lonoke AR",68356,1 
"05087","04","Madison AR",15717,1 
"05089","03","Marion AR",16653,1 
"05091","04","Miller AR",43462,1 
"05093","01","Mississippi AR",46480,1 
"05095","01","Monroe AR",8149,1 
"05097","04","Montgomery AR",9487,1 
"05099","04","Nevada AR",8997,1 
"05101","03","Newton AR",4071,0.489 
"05101","04","Newton AR",4259,0.511 
"05103","04","Ouachita AR",26120,1 
"05105","02","Perry AR",10445,1 
"05107","01","Phillips AR",21757,1 
"05109","04","Pike AR",11291,1 
"05111","01","Poinsett AR",24583,1 
"05113","04","Polk AR",20662,1 
"05115","03","Pope AR",61754,1 
"05117","01","Prairie AR",8715,1 
"05119","02","Pulaski AR",382748,1 
"05121","01","Randolph AR",17969,1 
"05123","01","St. Francis AR",28258,1 
"05125","02","Saline AR",107118,1 
"05127","04","Scott AR",11233,1 
"05129","01","Searcy AR",7645,0.933 
"05129","03","Searcy AR",550,0.067 
"05131","03","Sebastian AR",112539,0.895 
"05131","04","Sebastian AR",13205,0.105 
"05133","04","Sevier AR",17058,1 
"05135","01","Sharp AR",17264,1 
"05137","01","Stone AR",12394,1 
"05139","04","Union AR",41639,1 
"05141","02","Van Buren AR",17295,1 
"05143","03","Washington AR",203065,1 
"05145","02","White AR",77076,1 
"05147","01","Woodruff AR",7260,1 
"05149","04","Yell AR",22185,1 
