"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"06001","13","Alameda CA",702906,0.465 
"06001","15","Alameda CA",627971,0.416 
"06001","17","Alameda CA",179394,0.119 
"06003","04","Alpine CA",1175,1 
"06005","04","Amador CA",38091,1 
"06007","01","Butte CA",220000,1 
"06009","04","Calaveras CA",45578,1 
"06011","03","Colusa CA",21419,1 
"06013","05","Contra Costa CA",90968,0.087 
"06013","09","Contra Costa CA",180218,0.172 
"06013","11","Contra Costa CA",702906,0.67 
"06013","15","Contra Costa CA",74933,0.071 
"06015","02","Del Norte CA",28610,1 
"06017","04","El Dorado CA",181058,1 
"06019","04","Fresno CA",14912,0.016 
"06019","16","Fresno CA",324696,0.349 
"06019","21","Fresno CA",201449,0.217 
"06019","22","Fresno CA",389393,0.418 
"06021","01","Glenn CA",2321,0.083 
"06021","03","Glenn CA",25801,0.917 
"06023","02","Humboldt CA",134623,1 
"06025","51","Imperial CA",174528,1 
"06027","08","Inyo CA",18546,1 
"06029","21","Kern CA",313718,0.374 
"06029","23","Kern CA",525913,0.626 
"06031","21","Kings CA",152982,1 
"06033","03","Lake CA",33614,0.52 
"06033","05","Lake CA",31051,0.48 
"06035","01","Lassen CA",34895,1 
"06037","23","Los Angeles CA",83079,0.008 
"06037","25","Los Angeles CA",585642,0.06 
"06037","26","Los Angeles CA",8270,0.001 
"06037","27","Los Angeles CA",670024,0.068 
"06037","28","Los Angeles CA",702904,0.072 
"06037","29","Los Angeles CA",702905,0.072 
"06037","30","Los Angeles CA",700855,0.071 
"06037","32","Los Angeles CA",702905,0.072 
"06037","33","Los Angeles CA",702904,0.072 
"06037","34","Los Angeles CA",702904,0.072 
"06037","35","Los Angeles CA",149058,0.015 
"06037","37","Los Angeles CA",702904,0.072 
"06037","38","Los Angeles CA",687337,0.07 
"06037","39","Los Angeles CA",195205,0.02 
"06037","40","Los Angeles CA",702904,0.072 
"06037","43","Los Angeles CA",702904,0.072 
"06037","44","Los Angeles CA",702904,0.072 
"06037","47","Los Angeles CA",412997,0.042 
"06039","04","Madera CA",28450,0.189 
"06039","16","Madera CA",122415,0.811 
"06041","02","Marin CA",252409,1 
"06043","04","Mariposa CA",18251,1 
"06045","02","Mendocino CA",87841,1 
"06047","16","Merced CA",255793,1 
"06049","01","Modoc CA",9686,1 
"06051","08","Mono CA",14202,1 
"06053","20","Monterey CA",415057,1 
"06055","05","Napa CA",136484,1 
"06057","01","Nevada CA",82378,0.834 
"06057","04","Nevada CA",16386,0.166 
"06059","38","Orange CA",15571,0.005 
"06059","39","Orange CA",432280,0.144 
"06059","45","Orange CA",702921,0.234 
"06059","46","Orange CA",702942,0.234 
"06059","47","Orange CA",289844,0.096 
"06059","48","Orange CA",702916,0.234 
"06059","49","Orange CA",163758,0.054 
"06061","01","Placer CA",44792,0.129 
"06061","04","Placer CA",303640,0.871 
"06063","01","Plumas CA",20007,1 
"06065","36","Riverside CA",702905,0.321 
"06065","41","Riverside CA",702967,0.321 
"06065","42","Riverside CA",702847,0.321 
"06065","50","Riverside CA",80922,0.037 
"06067","03","Sacramento CA",35921,0.025 
"06067","06","Sacramento CA",654118,0.461 
"06067","07","Sacramento CA",702917,0.495 
"06067","09","Sacramento CA",25832,0.018 
"06069","20","San Benito CA",55269,1 
"06071","08","San Bernardino CA",670153,0.329 
"06071","27","San Bernardino CA",32881,0.016 
"06071","31","San Bernardino CA",702909,0.345 
"06071","35","San Bernardino CA",553847,0.272 
"06071","39","San Bernardino CA",75420,0.037 
"06073","49","San Diego CA",539146,0.174 
"06073","50","San Diego CA",621981,0.201 
"06073","51","San Diego CA",528378,0.171 
"06073","52","San Diego CA",702904,0.227 
"06073","53","San Diego CA",702904,0.227 
"06075","12","San Francisco CA",702905,0.873 
"06075","14","San Francisco CA",102330,0.127 
"06077","09","San Joaquin CA",496854,0.725 
"06077","10","San Joaquin CA",188452,0.275 
"06079","24","San Luis Obispo CA",269637,1 
"06081","14","San Mateo CA",600575,0.836 
"06081","18","San Mateo CA",117876,0.164 
"06083","24","Santa Barbara CA",423895,1 
"06085","17","Santa Clara CA",523513,0.294 
"06085","18","Santa Clara CA",535700,0.301 
"06085","19","Santa Clara CA",702904,0.395 
"06085","20","Santa Clara CA",19525,0.011 
"06087","18","Santa Cruz CA",49327,0.188 
"06087","20","Santa Cruz CA",213055,0.812 
"06089","01","Shasta CA",177223,1 
"06091","01","Sierra CA",3240,1 
"06093","01","Siskiyou CA",44900,1 
"06095","03","Solano CA",267184,0.646 
"06095","05","Solano CA",146160,0.354 
"06097","02","Sonoma CA",185636,0.384 
"06097","05","Sonoma CA",298242,0.616 
"06099","10","Stanislaus CA",514453,1 
"06101","03","Sutter CA",94737,1 
"06103","01","Tehama CA",63463,1 
"06105","02","Trinity CA",13786,1 
"06107","21","Tulare CA",34755,0.079 
"06107","22","Tulare CA",313512,0.709 
"06107","23","Tulare CA",93912,0.212 
"06109","04","Tuolumne CA",55365,1 
"06111","24","Ventura CA",9372,0.011 
"06111","25","Ventura CA",117262,0.142 
"06111","26","Ventura CA",694635,0.844 
"06111","30","Ventura CA",2049,0.002 
"06113","03","Yolo CA",152105,0.757 
"06113","06","Yolo CA",48744,0.243 
"06115","03","Yuba CA",72155,1 
