"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"08001","04","Adams CO",7166,0.016 
"08001","06","Adams CO",105561,0.239 
"08001","07","Adams CO",328876,0.745 
"08003","03","Alamosa CO",15445,1 
"08005","01","Arapahoe CO",50170,0.088 
"08005","04","Arapahoe CO",7220,0.013 
"08005","06","Arapahoe CO",514613,0.9 
"08007","03","Archuleta CO",12084,1 
"08009","04","Baca CO",3788,1 
"08011","04","Bent CO",6499,1 
"08013","02","Boulder CO",206113,0.7 
"08013","04","Boulder CO",88454,0.3 
"08014","02","Broomfield CO",55889,1 
"08015","05","Chaffee CO",17809,1 
"08017","04","Cheyenne CO",1836,1 
"08019","02","Clear Creek CO",9088,1 
"08021","03","Conejos CO",8256,1 
"08023","03","Costilla CO",3524,1 
"08025","04","Crowley CO",5823,1 
"08027","03","Custer CO",4255,1 
"08029","03","Delta CO",30952,1 
"08031","01","Denver CO",600158,1 
"08033","03","Dolores CO",2064,1 
"08035","04","Douglas CO",187183,0.656 
"08035","06","Douglas CO",98282,0.344 
"08037","02","Eagle CO",14636,0.28 
"08037","03","Eagle CO",37561,0.72 
"08039","04","Elbert CO",23086,1 
"08041","05","El Paso CO",622263,1 
"08043","05","Fremont CO",46824,1 
"08045","03","Garfield CO",56389,1 
"08047","02","Gilpin CO",5441,1 
"08049","02","Grand CO",14843,1 
"08051","03","Gunnison CO",15324,1 
"08053","03","Hinsdale CO",843,1 
"08055","03","Huerfano CO",6711,1 
"08057","03","Jackson CO",1394,1 
"08059","01","Jefferson CO",68129,0.127 
"08059","02","Jefferson CO",76853,0.144 
"08059","07","Jefferson CO",389561,0.729 
"08061","04","Kiowa CO",1398,1 
"08063","04","Kit Carson CO",8270,1 
"08065","03","Lake CO",7310,1 
"08067","03","La Plata CO",51334,1 
"08069","02","Larimer CO",299630,1 
"08071","04","Las Animas CO",15507,1 
"08073","04","Lincoln CO",5467,1 
"08075","04","Logan CO",22709,1 
"08077","03","Mesa CO",146723,1 
"08079","03","Mineral CO",712,1 
"08081","03","Moffat CO",13795,1 
"08083","03","Montezuma CO",25535,1 
"08085","03","Montrose CO",41276,1 
"08087","04","Morgan CO",28159,1 
"08089","04","Otero CO",18831,1 
"08091","03","Ouray CO",4436,1 
"08093","02","Park CO",7995,0.493 
"08093","05","Park CO",8211,0.507 
"08095","04","Phillips CO",4442,1 
"08097","03","Pitkin CO",17148,1 
"08099","04","Prowers CO",12551,1 
"08101","03","Pueblo CO",159063,1 
"08103","03","Rio Blanco CO",6666,1 
"08105","03","Rio Grande CO",11982,1 
"08107","03","Routt CO",23509,1 
"08109","03","Saguache CO",6108,1 
"08111","03","San Juan CO",699,1 
"08113","03","San Miguel CO",7359,1 
"08115","04","Sedgwick CO",2379,1 
"08117","02","Summit CO",27994,1 
"08119","05","Teller CO",23350,1 
"08121","04","Washington CO",4814,1 
"08123","04","Weld CO",252825,1 
"08125","04","Yuma CO",10043,1 
