"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"12001","03","Alachua FL",247336,1 
"12003","05","Baker FL",27115,1 
"12005","02","Bay FL",168852,1 
"12007","03","Bradford FL",28520,1 
"12009","08","Brevard FL",543376,1 
"12011","20","Broward FL",467229,0.267 
"12011","22","Broward FL",573908,0.328 
"12011","23","Broward FL",624861,0.357 
"12011","24","Broward FL",82068,0.047 
"12013","02","Calhoun FL",14625,1 
"12015","17","Charlotte FL",159978,1 
"12017","11","Citrus FL",141236,1 
"12019","03","Clay FL",190865,1 
"12021","19","Collier FL",155389,0.483 
"12021","25","Collier FL",166131,0.517 
"12023","02","Columbia FL",54709,0.81 
"12023","05","Columbia FL",12822,0.19 
"12027","17","DeSoto FL",34862,1 
"12029","02","Dixie FL",16422,1 
"12031","04","Duval FL",461197,0.534 
"12031","05","Duval FL",403066,0.466 
"12033","01","Escambia FL",297619,1 
"12035","06","Flagler FL",95696,1 
"12037","02","Franklin FL",11549,1 
"12039","05","Gadsden FL",46389,1 
"12041","02","Gilchrist FL",16939,1 
"12043","17","Glades FL",12884,1 
"12045","02","Gulf FL",15863,1 
"12047","05","Hamilton FL",14799,1 
"12049","17","Hardee FL",27731,1 
"12051","25","Hendry FL",39140,1 
"12053","11","Hernando FL",172778,1 
"12055","17","Highlands FL",98786,1 
"12057","12","Hillsborough FL",11451,0.009 
"12057","14","Hillsborough FL",696345,0.566 
"12057","15","Hillsborough FL",363759,0.296 
"12057","16","Hillsborough FL",157671,0.128 
"12059","01","Holmes FL",11489,0.577 
"12059","02","Holmes FL",8438,0.423 
"12061","08","Indian River FL",138028,1 
"12063","02","Jackson FL",49746,1 
"12065","02","Jefferson FL",1153,0.078 
"12065","05","Jefferson FL",13608,0.922 
"12067","02","Lafayette FL",8870,1 
"12069","06","Lake FL",77851,0.262 
"12069","11","Lake FL",141392,0.476 
"12069","15","Lake FL",77809,0.262 
"12071","17","Lee FL",77798,0.126 
"12071","19","Lee FL",540956,0.874 
"12073","02","Leon FL",116165,0.422 
"12073","05","Leon FL",159322,0.578 
"12075","02","Levy FL",40801,1 
"12077","02","Liberty FL",8365,1 
"12079","05","Madison FL",19224,1 
"12081","16","Manatee FL",322833,1 
"12083","02","Marion FL",44055,0.133 
"12083","03","Marion FL",139725,0.422 
"12083","11","Marion FL",147518,0.445 
"12085","18","Martin FL",146318,1 
"12086","23","Miami-Dade FL",71484,0.029 
"12086","24","Miami-Dade FL",614277,0.246 
"12086","25","Miami-Dade FL",491074,0.197 
"12086","26","Miami-Dade FL",623255,0.25 
"12086","27","Miami-Dade FL",696345,0.279 
"12087","26","Monroe FL",73090,1 
"12089","04","Nassau FL",73314,1 
"12091","01","Okaloosa FL",180822,1 
"12093","17","Okeechobee FL",39996,1 
"12095","07","Orange FL",273627,0.239 
"12095","08","Orange FL",14940,0.013 
"12095","09","Orange FL",161044,0.141 
"12095","10","Orange FL",696345,0.608 
"12097","09","Osceola FL",268685,1 
"12099","18","Palm Beach FL",272237,0.206 
"12099","20","Palm Beach FL",229115,0.174 
"12099","21","Palm Beach FL",696345,0.527 
"12099","22","Palm Beach FL",122437,0.093 
"12101","12","Pasco FL",464697,1 
"12103","12","Pinellas FL",220197,0.24 
"12103","13","Pinellas FL",696345,0.76 
"12105","09","Polk FL",266615,0.443 
"12105","15","Polk FL",254777,0.423 
"12105","17","Polk FL",80703,0.134 
"12107","03","Putnam FL",74364,1 
"12109","04","St. Johns FL",161834,0.852 
"12109","06","St. Johns FL",28205,0.148 
"12111","18","St. Lucie FL",277789,1 
"12113","01","Santa Rosa FL",151372,1 
"12115","16","Sarasota FL",215841,0.569 
"12115","17","Sarasota FL",163607,0.431 
"12117","07","Seminole FL",422718,1 
"12119","11","Sumter FL",93420,1 
"12121","02","Suwannee FL",41551,1 
"12123","02","Taylor FL",22570,1 
"12125","03","Union FL",15535,1 
"12127","06","Volusia FL",494593,1 
"12129","02","Wakulla FL",30776,1 
"12131","01","Walton FL",55043,1 
"12133","02","Washington FL",24896,1 
