"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"13001","12","Appling GA",18236,1 
"13003","08","Atkinson GA",8375,1 
"13005","01","Bacon GA",11096,1 
"13007","02","Baker GA",3451,1 
"13009","10","Baldwin GA",45720,1 
"13011","09","Banks GA",18395,1 
"13013","10","Barrow GA",69367,1 
"13015","11","Bartow GA",100157,1 
"13017","08","Ben Hill GA",17634,1 
"13019","08","Berrien GA",19286,1 
"13021","02","Bibb GA",112650,0.724 
"13021","08","Bibb GA",42897,0.276 
"13023","08","Bleckley GA",13063,1 
"13025","01","Brantley GA",18411,1 
"13027","08","Brooks GA",16243,1 
"13029","01","Bryan GA",30233,1 
"13031","12","Bulloch GA",70217,1 
"13033","12","Burke GA",23316,1 
"13035","10","Butts GA",23655,1 
"13037","02","Calhoun GA",6694,1 
"13039","01","Camden GA",50513,1 
"13043","12","Candler GA",10998,1 
"13045","03","Carroll GA",110527,1 
"13047","14","Catoosa GA",63942,1 
"13049","01","Charlton GA",12171,1 
"13051","01","Chatham GA",265128,1 
"13053","02","Chattahoochee GA",11267,1 
"13055","14","Chattooga GA",26015,1 
"13057","11","Cherokee GA",214346,1 
"13059","09","Clarke GA",17178,0.147 
"13059","10","Clarke GA",99536,0.853 
"13061","02","Clay GA",3183,1 
"13063","05","Clayton GA",103264,0.398 
"13063","13","Clayton GA",156160,0.602 
"13065","01","Clinch GA",6798,1 
"13067","06","Cobb GA",178647,0.26 
"13067","11","Cobb GA",337811,0.491 
"13067","13","Cobb GA",171620,0.249 
"13069","12","Coffee GA",42356,1 
"13071","08","Colquitt GA",45498,1 
"13073","10","Columbia GA",15328,0.124 
"13073","12","Columbia GA",108725,0.876 
"13075","08","Cook GA",17212,1 
"13077","03","Coweta GA",127317,1 
"13079","02","Crawford GA",12630,1 
"13081","02","Crisp GA",23439,1 
"13083","14","Dade GA",16633,1 
"13085","09","Dawson GA",22330,1 
"13087","02","Decatur GA",27842,1 
"13089","04","DeKalb GA",354275,0.512 
"13089","05","DeKalb GA",159596,0.231 
"13089","06","DeKalb GA",178022,0.257 
"13091","08","Dodge GA",21796,1 
"13093","02","Dooly GA",14918,1 
"13095","02","Dougherty GA",94565,1 
"13097","13","Douglas GA",132403,1 
"13099","02","Early GA",11008,1 
"13101","01","Echols GA",4034,1 
"13103","01","Effingham GA",30877,0.591 
"13103","12","Effingham GA",21373,0.409 
"13105","09","Elbert GA",20166,1 
"13107","12","Emanuel GA",22598,1 
"13109","12","Evans GA",11000,1 
"13111","09","Fannin GA",23682,1 
"13113","03","Fayette GA",88905,0.834 
"13113","13","Fayette GA",17662,0.166 
"13115","14","Floyd GA",96317,1 
"13117","07","Forsyth GA",122706,0.699 
"13117","09","Forsyth GA",52805,0.301 
"13119","09","Franklin GA",22084,1 
"13121","05","Fulton GA",429116,0.466 
