"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"19001","03","Adair IA",7682,1 
"19003","03","Adams IA",4029,1 
"19005","01","Allamakee IA",14330,1 
"19007","02","Appanoose IA",12887,1 
"19009","04","Audubon IA",6119,1 
"19011","01","Benton IA",26076,1 
"19013","01","Black Hawk IA",131090,1 
"19015","04","Boone IA",26306,1 
"19017","01","Bremer IA",24276,1 
"19019","01","Buchanan IA",20958,1 
"19021","04","Buena Vista IA",20260,1 
"19023","04","Butler IA",14867,1 
"19025","04","Calhoun IA",9670,1 
"19027","04","Carroll IA",20816,1 
"19029","03","Cass IA",13956,1 
"19031","02","Cedar IA",18499,1 
"19033","04","Cerro Gordo IA",44151,1 
"19035","04","Cherokee IA",12072,1 
"19037","04","Chickasaw IA",12439,1 
"19039","02","Clarke IA",9286,1 
"19041","04","Clay IA",16667,1 
"19043","01","Clayton IA",18129,1 
"19045","02","Clinton IA",49116,1 
"19047","04","Crawford IA",17096,1 
"19049","03","Dallas IA",66135,1 
"19051","02","Davis IA",8753,1 
"19053","02","Decatur IA",8457,1 
"19055","01","Delaware IA",17764,1 
"19057","02","Des Moines IA",40325,1 
"19059","04","Dickinson IA",16667,1 
"19061","01","Dubuque IA",93653,1 
"19063","04","Emmet IA",10302,1 
"19065","01","Fayette IA",20880,1 
"19067","04","Floyd IA",16303,1 
"19069","04","Franklin IA",10680,1 
"19071","03","Fremont IA",7441,1 
"19073","04","Greene IA",9336,1 
"19075","04","Grundy IA",12453,1 
"19077","03","Guthrie IA",10954,1 
"19079","04","Hamilton IA",15673,1 
"19081","04","Hancock IA",11341,1 
"19083","04","Hardin IA",17534,1 
"19085","04","Harrison IA",14928,1 
"19087","02","Henry IA",20145,1 
"19089","01","Howard IA",9566,1 
"19091","04","Humboldt IA",9815,1 
"19093","04","Ida IA",7089,1 
"19095","01","Iowa IA",16355,1 
"19097","01","Jackson IA",19848,1 
"19099","02","Jasper IA",36842,1 
"19101","02","Jefferson IA",16843,1 
"19103","02","Johnson IA",130882,1 
"19105","01","Jones IA",20638,1 
"19107","02","Keokuk IA",10511,1 
"19109","04","Kossuth IA",15543,1 
"19111","02","Lee IA",35862,1 
"19113","01","Linn IA",211226,1 
"19115","02","Louisa IA",11387,1 
"19117","02","Lucas IA",8898,1 
"19119","04","Lyon IA",11581,1 
"19121","03","Madison IA",15679,1 
"19123","02","Mahaska IA",22381,1 
"19125","02","Marion IA",33309,1 
"19127","01","Marshall IA",40648,1 
"19129","03","Mills IA",15059,1 
"19131","01","Mitchell IA",10776,1 
"19133","04","Monona IA",9243,1 
"19135","02","Monroe IA",7970,1 
"19137","03","Montgomery IA",10740,1 
"19139","02","Muscatine IA",42745,1 
"19141","04","OBrien IA",14398,1 
"19143","04","Osceola IA",6462,1 
"19145","03","Page IA",15932,1 
"19147","04","Palo Alto IA",9421,1 
"19149","04","Plymouth IA",24986,1 
"19151","04","Pocahontas IA",7310,1 
"19153","03","Polk IA",430640,1 
"19155","03","Pottawattamie IA",93158,1 
"19157","01","Poweshiek IA",18914,1 
"19159","03","Ringgold IA",5131,1 
"19161","04","Sac IA",10350,1 
"19163","02","Scott IA",165224,1 
"19165","04","Shelby IA",12167,1 
"19167","04","Sioux IA",33704,1 
"19169","04","Story IA",89542,1 
"19171","01","Tama IA",17767,1 
"19173","03","Taylor IA",6317,1 
"19175","03","Union IA",12534,1 
"19177","02","Van Buren IA",7570,1 
"19179","02","Wapello IA",35625,1 
"19181","03","Warren IA",46225,1 
"19183","02","Washington IA",21704,1 
"19185","02","Wayne IA",6403,1 
"19187","04","Webster IA",38013,1 
"19189","04","Winnebago IA",10866,1 
"19191","01","Winneshiek IA",21056,1 
"19193","04","Woodbury IA",102172,1 
"19195","01","Worth IA",7598,1 
"19197","04","Wright IA",13229,1 
