"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"16001","01","Ada ID",195528,0.498 
"16001","02","Ada ID",196837,0.502 
"16003","01","Adams ID",3976,1 
"16005","02","Bannock ID",82839,1 
"16007","02","Bear Lake ID",5986,1 
"16009","01","Benewah ID",9285,1 
"16011","02","Bingham ID",45607,1 
"16013","02","Blaine ID",21376,1 
"16015","01","Boise ID",7028,1 
"16017","01","Bonner ID",40877,1 
"16019","02","Bonneville ID",104234,1 
"16021","01","Boundary ID",10972,1 
"16023","02","Butte ID",2891,1 
"16025","02","Camas ID",1117,1 
"16027","01","Canyon ID",188923,1 
"16029","02","Caribou ID",6963,1 
"16031","02","Cassia ID",22952,1 
"16033","02","Clark ID",982,1 
"16035","01","Clearwater ID",8761,1 
"16037","02","Custer ID",4368,1 
"16039","02","Elmore ID",27038,1 
"16041","02","Franklin ID",12786,1 
"16043","02","Fremont ID",13242,1 
"16045","01","Gem ID",16719,1 
"16047","02","Gooding ID",15464,1 
"16049","01","Idaho ID",16267,1 
"16051","02","Jefferson ID",26140,1 
"16053","02","Jerome ID",22374,1 
"16055","01","Kootenai ID",138494,1 
"16057","01","Latah ID",37244,1 
"16059","02","Lemhi ID",7936,1 
"16061","01","Lewis ID",3821,1 
"16063","02","Lincoln ID",5208,1 
"16065","02","Madison ID",37536,1 
"16067","02","Minidoka ID",20069,1 
"16069","01","Nez Perce ID",39265,1 
"16071","02","Oneida ID",4286,1 
"16073","01","Owyhee ID",11526,1 
"16075","01","Payette ID",22623,1 
"16077","02","Power ID",7817,1 
"16079","01","Shoshone ID",12765,1 
"16081","02","Teton ID",10170,1 
"16083","02","Twin Falls ID",77230,1 
"16085","01","Valley ID",9862,1 
"16087","01","Washington ID",10198,1 
