"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"18001","03","Adams IN",34387,1 
"18003","03","Allen IN",355329,1 
"18005","06","Bartholomew IN",76794,1 
"18007","04","Benton IN",8854,1 
"18009","03","Blackford IN",3069,0.24 
"18009","05","Blackford IN",9697,0.76 
"18011","04","Boone IN",31073,0.549 
"18011","05","Boone IN",25567,0.451 
"18013","09","Brown IN",15242,1 
"18015","04","Carroll IN",20155,1 
"18017","04","Cass IN",38966,1 
"18019","09","Clark IN",110232,1 
"18021","08","Clay IN",26890,1 
"18023","04","Clinton IN",33224,1 
"18025","08","Crawford IN",1667,0.156 
"18025","09","Crawford IN",9046,0.844 
"18027","08","Daviess IN",31648,1 
"18029","06","Dearborn IN",50047,1 
"18031","06","Decatur IN",25740,1 
"18033","03","De Kalb IN",42223,1 
"18035","06","Delaware IN",117671,1 
"18037","08","Dubois IN",41889,1 
"18039","02","Elkhart IN",197559,1 
"18041","06","Fayette IN",24277,1 
"18043","09","Floyd IN",74578,1 
"18045","04","Fountain IN",17240,1 
"18047","06","Franklin IN",23087,1 
"18049","02","Fulton IN",20836,1 
"18051","08","Gibson IN",33503,1 
"18053","05","Grant IN",70061,1 
"18055","08","Greene IN",33165,1 
"18057","05","Hamilton IN",274569,1 
"18059","06","Hancock IN",70002,1 
"18061","09","Harrison IN",39364,1 
"18063","04","Hendricks IN",145448,1 
"18065","06","Henry IN",49462,1 
"18067","04","Howard IN",72765,0.879 
"18067","05","Howard IN",9987,0.121 
"18069","03","Huntington IN",37124,1 
"18071","09","Jackson IN",42376,1 
"18073","04","Jasper IN",33478,1 
"18075","03","Jay IN",21253,1 
"18077","06","Jefferson IN",32428,1 
"18079","06","Jennings IN",28525,1 
"18081","09","Johnson IN",139654,1 
"18083","08","Knox IN",38440,1 
"18085","02","Kosciusko IN",30097,0.389 
"18085","03","Kosciusko IN",47261,0.611 
"18087","03","Lagrange IN",37128,1 
"18089","01","Lake IN",496005,1 
"18091","01","La Porte IN",60074,0.539 
"18091","02","La Porte IN",51393,0.461 
"18093","09","Lawrence IN",46134,1 
"18095","05","Madison IN",131636,1 
"18097","05","Marion IN",182970,0.203 
"18097","07","Marion IN",720423,0.797 
"18099","02","Marshall IN",47051,1 
"18101","08","Martin IN",10334,1 
"18103","02","Miami IN",36903,1 
"18105","09","Monroe IN",137974,1 
"18107","04","Montgomery IN",38124,1 
"18109","04","Morgan IN",22957,0.333 
"18109","09","Morgan IN",45937,0.667 
"18111","04","Newton IN",14244,1 
"18113","03","Noble IN",47536,1 
"18115","06","Ohio IN",6128,1 
"18117","09","Orange IN",19840,1 
"18119","08","Owen IN",21575,1 
"18121","08","Parke IN",17339,1 
"18123","08","Perry IN",19338,1 
"18125","08","Pike IN",12845,1 
"18127","01","Porter IN",164343,1 
"18129","08","Posey IN",25910,1 
"18131","02","Pulaski IN",13402,1 
"18133","04","Putnam IN",37963,1 
"18135","06","Randolph IN",26171,1 
"18137","06","Ripley IN",28818,1 
"18139","06","Rush IN",17392,1 
"18141","02","St. Joseph IN",266931,1 
"18143","06","Scott IN",12398,0.513 
"18143","09","Scott IN",11783,0.487 
"18145","06","Shelby IN",44436,1 
"18147","08","Spencer IN",20952,1 
"18149","02","Starke IN",23363,1 
"18151","03","Steuben IN",34185,1 
"18153","08","Sullivan IN",21475,1 
"18155","06","Switzerland IN",10613,1 
"18157","04","Tippecanoe IN",172780,1 
"18159","05","Tipton IN",15936,1 
"18161","06","Union IN",7516,1 
"18163","08","Vanderburgh IN",179703,1 
"18165","08","Vermillion IN",16212,1 
"18167","08","Vigo IN",107848,1 
"18169","02","Wabash IN",32888,1 
"18171","04","Warren IN",8508,1 
"18173","08","Warrick IN",59689,1 
"18175","09","Washington IN",28262,1 
"18177","06","Wayne IN",68917,1 
"18179","03","Wells IN",27636,1 
"18181","04","White IN",24643,1 
"18183","03","Whitley IN",33292,1 
