"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"20001","02","Allen KS",13371,1 
"20003","02","Anderson KS",8102,1 
"20005","02","Atchison KS",16924,1 
"20007","04","Barber KS",4861,1 
"20009","01","Barton KS",27674,1 
"20011","02","Bourbon KS",15173,1 
"20013","02","Brown KS",9984,1 
"20015","04","Butler KS",65880,1 
"20017","01","Chase KS",2790,1 
"20019","04","Chautauqua KS",3669,1 
"20021","02","Cherokee KS",21603,1 
"20023","01","Cheyenne KS",2726,1 
"20025","01","Clark KS",2215,1 
"20027","01","Clay KS",8535,1 
"20029","01","Cloud KS",9533,1 
"20031","02","Coffey KS",8601,1 
"20033","04","Comanche KS",1891,1 
"20035","04","Cowley KS",36311,1 
"20037","02","Crawford KS",39134,1 
"20039","01","Decatur KS",2961,1 
"20041","01","Dickinson KS",19754,1 
"20043","02","Doniphan KS",7945,1 
"20045","02","Douglas KS",110826,1 
"20047","04","Edwards KS",3037,1 
"20049","04","Elk KS",2882,1 
"20051","01","Ellis KS",28452,1 
"20053","01","Ellsworth KS",6497,1 
"20055","01","Finney KS",36776,1 
"20057","01","Ford KS",33848,1 
"20059","02","Franklin KS",25992,1 
"20061","01","Geary KS",34362,1 
"20063","01","Gove KS",2695,1 
"20065","01","Graham KS",2597,1 
"20067","01","Grant KS",7829,1 
"20069","01","Gray KS",6006,1 
"20071","01","Greeley KS",1247,1 
"20073","04","Greenwood KS",6689,1 
"20075","01","Hamilton KS",2690,1 
"20077","04","Harper KS",6034,1 
"20079","04","Harvey KS",34684,1 
"20081","01","Haskell KS",4256,1 
"20083","01","Hodgeman KS",1916,1 
"20085","02","Jackson KS",13462,1 
"20087","02","Jefferson KS",19126,1 
"20089","01","Jewell KS",3077,1 
"20091","03","Johnson KS",544179,1 
"20093","01","Kearny KS",3977,1 
"20095","04","Kingman KS",7858,1 
"20097","04","Kiowa KS",2553,1 
"20099","02","Labette KS",21607,1 
"20101","01","Lane KS",1750,1 
"20103","02","Leavenworth KS",76227,1 
"20105","01","Lincoln KS",3241,1 
"20107","02","Linn KS",9656,1 
"20109","01","Logan KS",2756,1 
"20111","01","Lyon KS",33690,1 
"20113","01","McPherson KS",29180,1 
"20115","01","Marion KS",12660,1 
"20117","01","Marshall KS",4870,0.481 
"20117","02","Marshall KS",5247,0.519 
"20119","01","Meade KS",4575,1 
"20121","02","Miami KS",21184,0.646 
"20121","03","Miami KS",11603,0.354 
"20123","01","Mitchell KS",6373,1 
"20125","02","Montgomery KS",35471,1 
"20127","01","Morris KS",5923,1 
"20129","01","Morton KS",3233,1 
"20131","02","Nemaha KS",10178,1 
"20133","02","Neosho KS",16512,1 
"20135","01","Ness KS",3107,1 
"20137","01","Norton KS",5671,1 
"20139","02","Osage KS",16295,1 
"20141","01","Osborne KS",3858,1 
"20143","01","Ottawa KS",6091,1 
"20145","01","Pawnee KS",6631,0.951 
"20145","04","Pawnee KS",342,0.049 
"20147","01","Phillips KS",5642,1 
"20149","01","Pottawatomie KS",21604,1 
"20151","04","Pratt KS",9656,1 
"20153","01","Rawlins KS",2519,1 
"20155","01","Reno KS",64511,1 
"20157","01","Republic KS",4980,1 
"20159","01","Rice KS",10083,1 
"20161","01","Riley KS",71115,1 
"20163","01","Rooks KS",5181,1 
"20165","01","Rush KS",3307,1 
"20167","01","Russell KS",6970,1 
"20169","01","Saline KS",55606,1 
"20171","01","Scott KS",4936,1 
"20173","04","Sedgwick KS",498365,1 
"20175","01","Seward KS",22952,1 
"20177","02","Shawnee KS",177934,1 
"20179","01","Sheridan KS",2556,1 
"20181","01","Sherman KS",6010,1 
"20183","01","Smith KS",3853,1 
"20185","04","Stafford KS",4437,1 
"20187","01","Stanton KS",2235,1 
"20189","01","Stevens KS",5724,1 
"20191","04","Sumner KS",24132,1 
"20193","01","Thomas KS",7900,1 
"20195","01","Trego KS",3001,1 
"20197","01","Wabaunsee KS",7053,1 
"20199","01","Wallace KS",1485,1 
"20201","01","Washington KS",5799,1 
"20203","01","Wichita KS",2234,1 
"20205","02","Wilson KS",9409,1 
"20207","02","Woodson KS",3309,1 
"20209","03","Wyandotte KS",157505,1 
