"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"21001","01","Adair KY",18656,1 
"21003","01","Allen KY",19956,1 
"21005","06","Anderson KY",21421,1 
"21007","01","Ballard KY",8249,1 
"21009","02","Barren KY",42173,1 
"21011","06","Bath KY",11591,1 
"21013","05","Bell KY",28691,1 
"21015","04","Boone KY",118811,1 
"21017","06","Bourbon KY",19985,1 
"21019","04","Boyd KY",40044,0.808 
"21019","05","Boyd KY",9498,0.192 
"21021","02","Boyle KY",28432,1 
"21023","04","Bracken KY",8488,1 
"21025","05","Breathitt KY",13878,1 
"21027","02","Breckinridge KY",20059,1 
"21029","02","Bullitt KY",74319,1 
"21031","02","Butler KY",12690,1 
"21033","01","Caldwell KY",12984,1 
"21035","01","Calloway KY",37191,1 
"21037","04","Campbell KY",90336,1 
"21039","01","Carlisle KY",5104,1 
"21041","04","Carroll KY",10811,1 
"21043","05","Carter KY",27720,1 
"21045","01","Casey KY",15955,1 
"21047","01","Christian KY",73955,1 
"21049","06","Clark KY",35613,1 
"21051","05","Clay KY",21730,1 
"21053","01","Clinton KY",10272,1 
"21055","01","Crittenden KY",9315,1 
"21057","01","Cumberland KY",6856,1 
"21059","02","Daviess KY",96656,1 
"21061","02","Edmonson KY",12161,1 
"21063","05","Elliott KY",7852,1 
"21065","06","Estill KY",14672,1 
"21067","06","Fayette KY",295803,1 
"21069","06","Fleming KY",14348,1 
"21071","05","Floyd KY",39451,1 
"21073","06","Franklin KY",49285,1 
"21075","01","Fulton KY",6813,1 
"21077","04","Gallatin KY",8589,1 
"21079","02","Garrard KY",16912,1 
"21081","04","Grant KY",24662,1 
"21083","01","Graves KY",37121,1 
"21085","02","Grayson KY",25746,1 
"21087","02","Green KY",11258,1 
"21089","04","Greenup KY",36910,1 
"21091","02","Hancock KY",8565,1 
"21093","02","Hardin KY",105543,1 
"21095","05","Harlan KY",29278,1 
"21097","04","Harrison KY",11787,0.625 
"21097","06","Harrison KY",7059,0.375 
"21099","02","Hart KY",18199,1 
"21101","01","Henderson KY",46250,1 
"21103","04","Henry KY",15416,1 
"21105","01","Hickman KY",4902,1 
"21107","01","Hopkins KY",46920,1 
"21109","05","Jackson KY",13494,1 
"21111","03","Jefferson KY",723171,0.976 
"21111","04","Jefferson KY",17925,0.024 
"21113","02","Jessamine KY",12405,0.255 
"21113","06","Jessamine KY",36181,0.745 
"21115","05","Johnson KY",23356,1 
"21117","04","Kenton KY",159720,1 
"21119","05","Knott KY",16346,1 
"21121","05","Knox KY",31883,1 
"21123","02","Larue KY",14193,1 
"21125","05","Laurel KY",58849,1 
"21127","05","Lawrence KY",15860,1 
"21129","05","Lee KY",7887,1 
"21131","05","Leslie KY",11310,1 
"21133","05","Letcher KY",24519,1 
"21135","04","Lewis KY",13870,1 
"21137","02","Lincoln KY",5,0 
"21137","05","Lincoln KY",24737,1 
"21139","01","Livingston KY",9519,1 
"21141","01","Logan KY",26835,1 
"21143","01","Lyon KY",8314,1 
"21145","01","McCracken KY",65565,1 
"21147","05","McCreary KY",18306,1 
"21149","01","McLean KY",9531,1 
"21151","06","Madison KY",82916,1 
"21153","05","Magoffin KY",13333,1 
"21155","01","Marion KY",19820,1 
"21157","01","Marshall KY",31448,1 
"21159","05","Martin KY",12929,1 
"21161","04","Mason KY",17490,1 
"21163","02","Meade KY",28602,1 
"21165","06","Menifee KY",6306,1 
"21167","02","Mercer KY",21331,1 
"21169","01","Metcalfe KY",10099,1 
"21171","01","Monroe KY",10963,1 
"21173","06","Montgomery KY",26499,1 
"21175","05","Morgan KY",13923,1 
"21177","01","Muhlenberg KY",31499,1 
"21179","02","Nelson KY",43437,1 
"21181","06","Nicholas KY",7135,1 
"21183","01","Ohio KY",23842,1 
"21185","04","Oldham KY",60316,1 
"21187","04","Owen KY",10841,1 
"21189","05","Owsley KY",4755,1 
"21191","04","Pendleton KY",14877,1 
"21193","05","Perry KY",28712,1 
"21195","05","Pike KY",65024,1 
"21197","06","Powell KY",12613,1 
"21199","05","Pulaski KY",63063,1 
"21201","06","Robertson KY",2282,1 
"21203","05","Rockcastle KY",17056,1 
"21205","05","Rowan KY",23333,1 
"21207","01","Russell KY",17565,1 
"21209","06","Scott KY",47173,1 
"21211","04","Shelby KY",42074,1 
"21213","01","Simpson KY",17327,1 
"21215","02","Spencer KY",5360,0.314 
"21215","04","Spencer KY",11701,0.686 
"21217","01","Taylor KY",24512,1 
"21219","01","Todd KY",12460,1 
"21221","01","Trigg KY",14339,1 
"21223","04","Trimble KY",8809,1 
"21225","01","Union KY",15007,1 
"21227","02","Warren KY",113792,1 
"21229","01","Washington KY",413,0.035 
"21229","02","Washington KY",11304,0.965 
"21231","05","Wayne KY",20813,1 
"21233","01","Webster KY",13621,1 
"21235","05","Whitley KY",35637,1 
"21237","06","Wolfe KY",7355,1 
"21239","06","Woodford KY",24939,1 
