"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"22001","03","Acadia Parish LA",61773,1 
"22003","04","Allen Parish LA",25764,1 
"22005","02","Ascension Parish LA",20312,0.189 
"22005","06","Ascension Parish LA",86903,0.811 
"22007","02","Assumption Parish LA",7637,0.326 
"22007","06","Assumption Parish LA",15784,0.674 
"22009","05","Avoyelles Parish LA",42073,1 
"22011","04","Beauregard Parish LA",35654,1 
"22013","04","Bienville Parish LA",14353,1 
"22015","04","Bossier Parish LA",116979,1 
"22017","04","Caddo Parish LA",254969,1 
"22019","03","Calcasieu Parish LA",192768,1 
"22021","05","Caldwell Parish LA",10132,1 
"22023","03","Cameron Parish LA",6839,1 
"22025","05","Catahoula Parish LA",10407,1 
"22027","04","Claiborne Parish LA",17195,1 
"22029","05","Concordia Parish LA",20822,1 
"22031","04","De Soto Parish LA",26656,1 
"22033","02","East Baton Rouge Parish LA",102184,0.232 
"22033","06","East Baton Rouge Parish LA",337987,0.768 
"22035","05","East Carroll Parish LA",7759,1 
"22037","05","East Feliciana Parish LA",11728,0.579 
"22037","06","East Feliciana Parish LA",8539,0.421 
"22039","04","Evangeline Parish LA",33984,1 
"22041","05","Franklin Parish LA",20767,1 
"22043","05","Grant Parish LA",22309,1 
"22045","03","Iberia Parish LA",73240,1 
"22047","02","Iberville Parish LA",23326,0.699 
"22047","06","Iberville Parish LA",10061,0.301 
"22049","05","Jackson Parish LA",16274,1 
"22051","01","Jefferson Parish LA",232558,0.538 
"22051","02","Jefferson Parish LA",199994,0.462 
"22053","03","Jefferson Davis Parish LA",31594,1 
"22055","03","Lafayette Parish LA",221578,1 
"22057","01","Lafourche Parish LA",46243,0.48 
"22057","06","Lafourche Parish LA",50075,0.52 
"22059","05","La Salle Parish LA",14890,1 
"22061","05","Lincoln Parish LA",46735,1 
"22063","06","Livingston Parish LA",128026,1 
"22065","05","Madison Parish LA",12093,1 
"22067","05","Morehouse Parish LA",27979,1 
"22069","04","Natchitoches Parish LA",39566,1 
"22071","01","Orleans Parish LA",41766,0.121 
"22071","02","Orleans Parish LA",302063,0.879 
"22073","05","Ouachita Parish LA",153720,1 
"22075","01","Plaquemines Parish LA",23042,1 
"22077","06","Pointe Coupee Parish LA",22802,1 
"22079","05","Rapides Parish LA",131613,1 
"22081","04","Red River Parish LA",9091,1 
"22083","05","Richland Parish LA",20725,1 
"22085","04","Sabine Parish LA",24233,1 
"22087","01","St. Bernard Parish LA",35897,1 
"22089","02","St. Charles Parish LA",33730,0.639 
"22089","06","St. Charles Parish LA",19050,0.361 
"22091","05","St. Helena Parish LA",2734,0.244 
"22091","06","St. Helena Parish LA",8469,0.756 
"22093","02","St. James Parish LA",22102,1 
"22095","02","St. John the Baptist Parish LA",33564,0.731 
"22095","06","St. John the Baptist Parish LA",12360,0.269 
"22097","03","St. Landry Parish LA",2995,0.036 
"22097","04","St. Landry Parish LA",40899,0.49 
"22097","05","St. Landry Parish LA",39490,0.474 
"22099","03","St. Martin Parish LA",52160,1 
"22101","03","St. Mary Parish LA",54650,1 
"22103","01","St. Tammany Parish LA",233740,1 
"22105","01","Tangipahoa Parish LA",72728,0.601 
"22105","05","Tangipahoa Parish LA",48369,0.399 
"22107","05","Tensas Parish LA",5252,1 
"22109","01","Terrebonne Parish LA",69471,0.621 
"22109","06","Terrebonne Parish LA",42389,0.379 
"22111","04","Union Parish LA",22721,1 
"22113","03","Vermilion Parish LA",57999,1 
"22115","04","Vernon Parish LA",52334,1 
"22117","05","Washington Parish LA",47168,1 
"22119","04","Webster Parish LA",41207,1 
"22121","02","West Baton Rouge Parish LA",10626,0.447 
"22121","06","West Baton Rouge Parish LA",13162,0.553 
"22123","05","West Carroll Parish LA",11604,1 
"22125","05","West Feliciana Parish LA",15625,1 
"22127","05","Winn Parish LA",15313,1 
