"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"26001","01","Alcona MI",10942,1 
"26003","01","Alger MI",9601,1 
"26005","02","Allegan MI",2424,0.022 
"26005","06","Allegan MI",108984,0.978 
"26007","01","Alpena MI",29598,1 
"26009","01","Antrim MI",23580,1 
"26011","05","Arenac MI",15899,1 
"26013","01","Baraga MI",8860,1 
"26015","03","Barry MI",59173,1 
"26017","05","Bay MI",107771,1 
"26019","01","Benzie MI",17525,1 
"26021","06","Berrien MI",156813,1 
"26023","07","Branch MI",45248,1 
"26025","03","Calhoun MI",136146,1 
"26027","06","Cass MI",52293,1 
"26029","01","Charlevoix MI",25949,1 
"26031","01","Cheboygan MI",26152,1 
"26033","01","Chippewa MI",38520,1 
"26035","04","Clare MI",30926,1 
"26037","04","Clinton MI",75382,1 
"26039","01","Crawford MI",14074,1 
"26041","01","Delta MI",37069,1 
"26043","01","Dickinson MI",26168,1 
"26045","07","Eaton MI",107759,1 
"26047","01","Emmet MI",32694,1 
"26049","05","Genesee MI",425790,1 
"26051","04","Gladwin MI",25692,1 
"26053","01","Gogebic MI",16427,1 
"26055","01","Grand Traverse MI",86986,1 
"26057","04","Gratiot MI",42476,1 
"26059","07","Hillsdale MI",46688,1 
"26061","01","Houghton MI",36628,1 
"26063","10","Huron MI",33118,1 
"26065","08","Ingham MI",280895,1 
"26067","03","Ionia MI",63905,1 
"26069","05","Iosco MI",25887,1 
"26071","01","Iron MI",11817,1 
"26073","04","Isabella MI",70311,1 
"26075","07","Jackson MI",160248,1 
"26077","06","Kalamazoo MI",250331,1 
"26079","01","Kalkaska MI",17153,1 
"26081","02","Kent MI",159860,0.265 
"26081","03","Kent MI",442762,0.735 
"26083","01","Keweenaw MI",2156,1 
"26085","02","Lake MI",11539,1 
"26087","10","Lapeer MI",88319,1 
"26089","01","Leelanau MI",21708,1 
"26091","07","Lenawee MI",99892,1 
"26093","08","Livingston MI",180967,1 
"26095","01","Luce MI",6631,1 
"26097","01","Mackinac MI",11113,1 
"26099","09","Macomb MI",500365,0.595 
"26099","10","Macomb MI",340613,0.405 
"26101","01","Manistee MI",24733,1 
"26103","01","Marquette MI",67077,1 
"26105","01","Mason MI",7574,0.264 
"26105","02","Mason MI",21131,0.736 
"26107","04","Mecosta MI",42798,1 
"26109","01","Menominee MI",24029,1 
"26111","04","Midland MI",83629,1 
"26113","04","Missaukee MI",14849,1 
"26115","07","Monroe MI",152021,1 
"26117","03","Montcalm MI",3990,0.063 
"26117","04","Montcalm MI",59352,0.937 
"26119","01","Montmorency MI",9765,1 
"26121","02","Muskegon MI",172188,1 
"26123","02","Newaygo MI",48460,1 
"26125","08","Oakland MI",244106,0.203 
"26125","09","Oakland MI",205474,0.171 
"26125","10","Oakland MI",7,0 
"26125","11","Oakland MI",450967,0.375 
"26125","14","Oakland MI",301808,0.251 
"26127","02","Oceana MI",26570,1 
"26129","04","Ogemaw MI",21699,1 
"26131","01","Ontonagon MI",6780,1 
"26133","04","Osceola MI",23528,1 
"26135","01","Oscoda MI",8640,1 
"26137","01","Otsego MI",24164,1 
"26139","02","Ottawa MI",263801,1 
"26141","01","Presque Isle MI",13376,1 
"26143","04","Roscommon MI",24449,1 
"26145","04","Saginaw MI",87500,0.437 
"26145","05","Saginaw MI",112669,0.563 
"26147","10","St. Clair MI",163040,1 
"26149","06","St. Joseph MI",61295,1 
"26151","10","Sanilac MI",43114,1 
"26153","01","Schoolcraft MI",8485,1 
"26155","04","Shiawassee MI",70648,1 
"26157","05","Tuscola MI",17959,0.322 
"26157","10","Tuscola MI",37770,0.678 
"26159","06","Van Buren MI",76258,1 
"26161","07","Washtenaw MI",94118,0.273 
"26161","12","Washtenaw MI",250673,0.727 
"26163","09","Wayne MI",5,0 
"26163","11","Wayne MI",255007,0.14 
"26163","12","Wayne MI",455257,0.25 
"26163","13","Wayne MI",706018,0.388 
"26163","14","Wayne MI",404297,0.222 
"26165","04","Wexford MI",32735,1 
