"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"27001","08","Aitkin MN",16202,1 
"27003","03","Anoka MN",61476,0.186 
"27003","05","Anoka MN",53682,0.162 
"27003","06","Anoka MN",215686,0.652 
"27005","07","Becker MN",32504,1 
"27007","07","Beltrami MN",30001,0.675 
"27007","08","Beltrami MN",14441,0.325 
"27009","06","Benton MN",38451,1 
"27011","07","Big Stone MN",5269,1 
"27013","01","Blue Earth MN",64013,1 
"27015","01","Brown MN",25893,1 
"27017","08","Carlton MN",35386,1 
"27019","03","Carver MN",56363,0.619 
"27019","06","Carver MN",34679,0.381 
"27021","08","Cass MN",28567,1 
"27023","07","Chippewa MN",12441,1 
"27025","08","Chisago MN",53887,1 
"27027","07","Clay MN",58999,1 
"27029","07","Clearwater MN",8695,1 
"27031","08","Cook MN",5176,1 
"27033","01","Cottonwood MN",3803,0.325 
"27033","07","Cottonwood MN",7884,0.675 
"27035","08","Crow Wing MN",62500,1 
"27037","02","Dakota MN",398552,1 
"27039","01","Dodge MN",20087,1 
"27041","07","Douglas MN",36009,1 
"27043","01","Faribault MN",14553,1 
"27045","01","Fillmore MN",20866,1 
"27047","01","Freeborn MN",31255,1 
"27049","02","Goodhue MN",46183,1 
"27051","07","Grant MN",6018,1 
"27053","03","Hennepin MN",545151,0.473 
"27053","05","Hennepin MN",606239,0.526 
"27053","06","Hennepin MN",1035,0.001 
"27055","01","Houston MN",19027,1 
"27057","08","Hubbard MN",20428,1 
"27059","08","Isanti MN",37816,1 
"27061","08","Itasca MN",45058,1 
"27063","01","Jackson MN",10266,1 
"27065","08","Kanabec MN",16239,1 
"27067","07","Kandiyohi MN",42239,1 
"27069","07","Kittson MN",4552,1 
"27071","08","Koochiching MN",13311,1 
"27073","07","Lac qui Parle MN",7259,1 
"27075","08","Lake MN",10866,1 
"27077","07","Lake of the Woods MN",4045,1 
"27079","01","Le Sueur MN",27703,1 
"27081","07","Lincoln MN",5896,1 
"27083","07","Lyon MN",25857,1 
"27085","07","McLeod MN",36651,1 
"27087","07","Mahnomen MN",5413,1 
"27089","07","Marshall MN",9439,1 
"27091","01","Martin MN",20840,1 
"27093","07","Meeker MN",23300,1 
"27095","08","Mille Lacs MN",26097,1 
"27097","08","Morrison MN",33198,1 
"27099","01","Mower MN",39163,1 
"27101","07","Murray MN",8725,1 
"27103","01","Nicollet MN",32727,1 
"27105","01","Nobles MN",21378,1 
"27107","07","Norman MN",6852,1 
"27109","01","Olmsted MN",144248,1 
"27111","07","Otter Tail MN",57303,1 
"27113","07","Pennington MN",13930,1 
"27115","08","Pine MN",29750,1 
"27117","07","Pipestone MN",9596,1 
"27119","07","Polk MN",31600,1 
"27121","07","Pope MN",10995,1 
"27123","04","Ramsey MN",505570,0.994 
"27123","05","Ramsey MN",3070,0.006 
"27125","07","Red Lake MN",4089,1 
"27127","07","Redwood MN",16059,1 
"27129","07","Renville MN",15730,1 
"27131","01","Rice MN",39098,0.61 
"27131","02","Rice MN",25044,0.39 
"27133","01","Rock MN",9687,1 
"27135","07","Roseau MN",15629,1 
"27137","08","St. Louis MN",200226,1 
"27139","02","Scott MN",129928,1 
"27141","06","Sherburne MN",88499,1 
"27143","07","Sibley MN",15226,1 
"27145","06","Stearns MN",120835,0.802 
"27145","07","Stearns MN",29807,0.198 
"27147","01","Steele MN",36576,1 
"27149","07","Stevens MN",9726,1 
"27151","07","Swift MN",9783,1 
"27153","07","Todd MN",24895,1 
"27155","07","Traverse MN",3558,1 
"27157","02","Wabasha MN",21676,1 
"27159","08","Wadena MN",13843,1 
"27161","01","Waseca MN",19136,1 
"27163","02","Washington MN",41608,0.175 
"27163","04","Washington MN",157420,0.661 
"27163","06","Washington MN",39108,0.164 
"27165","01","Watonwan MN",11211,1 
"27167","07","Wilkin MN",6576,1 
"27169","01","Winona MN",51461,1 
"27171","06","Wright MN",124700,1 
"27173","07","Yellow Medicine MN",10438,1 
