"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"29001","06","Adair MO",25607,1 
"29003","06","Andrew MO",17291,1 
"29005","06","Atchison MO",5685,1 
"29007","04","Audrain MO",19204,0.752 
"29007","06","Audrain MO",6325,0.248 
"29009","07","Barry MO",35597,1 
"29011","04","Barton MO",12402,1 
"29013","04","Bates MO",17049,1 
"29015","04","Benton MO",19056,1 
"29017","08","Bollinger MO",12363,1 
"29019","04","Boone MO",162642,1 
"29021","06","Buchanan MO",89201,1 
"29023","08","Butler MO",42794,1 
"29025","06","Caldwell MO",9424,1 
"29027","03","Callaway MO",44332,1 
"29029","03","Camden MO",26722,0.607 
"29029","04","Camden MO",17280,0.393 
"29031","08","Cape Girardeau MO",75674,1 
"29033","06","Carroll MO",9295,1 
"29035","08","Carter MO",6265,1 
"29037","04","Cass MO",99478,1 
"29039","04","Cedar MO",13982,1 
"29041","06","Chariton MO",7831,1 
"29043","07","Christian MO",77422,1 
"29045","06","Clark MO",7139,1 
"29047","05","Clay MO",73731,0.332 
"29047","06","Clay MO",148208,0.668 
"29049","06","Clinton MO",20743,1 
"29051","03","Cole MO",75990,1 
"29053","04","Cooper MO",17601,1 
"29055","08","Crawford MO",24696,1 
"29057","04","Dade MO",7883,1 
"29059","04","Dallas MO",16777,1 
"29061","06","Daviess MO",8433,1 
"29063","06","DeKalb MO",12892,1 
"29065","08","Dent MO",15657,1 
"29067","08","Douglas MO",13684,1 
"29069","08","Dunklin MO",31953,1 
"29071","03","Franklin MO",101492,1 
"29073","03","Gasconade MO",15222,1 
"29075","06","Gentry MO",6738,1 
"29077","07","Greene MO",275174,1 
"29079","06","Grundy MO",10261,1 
"29081","06","Harrison MO",8957,1 
"29083","04","Henry MO",22272,1 
"29085","04","Hickory MO",9627,1 
"29087","06","Holt MO",4912,1 
"29089","04","Howard MO",10144,1 
"29091","08","Howell MO",40400,1 
"29093","08","Iron MO",10630,1 
"29095","04","Jackson MO",21,0 
"29095","05","Jackson MO",594619,0.882 
"29095","06","Jackson MO",79518,0.118 
"29097","07","Jasper MO",117404,1 
"29099","02","Jefferson MO",44106,0.202 
"29099","03","Jefferson MO",114133,0.522 
"29099","08","Jefferson MO",60494,0.277 
"29101","04","Johnson MO",52595,1 
"29103","06","Knox MO",4131,1 
"29105","04","Laclede MO",35571,1 
"29107","05","Lafayette MO",33381,1 
"29109","07","Lawrence MO",38634,1 
"29111","06","Lewis MO",10211,1 
"29113","03","Lincoln MO",52566,1 
"29115","06","Linn MO",12761,1 
"29117","06","Livingston MO",15195,1 
"29119","07","McDonald MO",23083,1 
"29121","06","Macon MO",15566,1 
"29123","08","Madison MO",12226,1 
"29125","03","Maries MO",9176,1 
"29127","06","Marion MO",28781,1 
"29129","06","Mercer MO",3785,1 
"29131","03","Miller MO",24748,1 
"29133","08","Mississippi MO",14358,1 
"29135","04","Moniteau MO",15607,1 
"29137","06","Monroe MO",8840,1 
"29139","03","Montgomery MO",12236,1 
"29141","04","Morgan MO",20565,1 
"29143","08","New Madrid MO",18956,1 
"29145","07","Newton MO",58114,1 
"29147","06","Nodaway MO",23370,1 
"29149","08","Oregon MO",10881,1 
"29151","03","Osage MO",13878,1 
"29153","08","Ozark MO",9723,1 
"29155","08","Pemiscot MO",18296,1 
"29157","08","Perry MO",18971,1 
"29159","04","Pettis MO",42201,1 
"29161","08","Phelps MO",45156,1 
"29163","06","Pike MO",18516,1 
"29165","06","Platte MO",89322,1 
"29167","07","Polk MO",31137,1 
"29169","04","Pulaski MO",52274,1 
"29171","06","Putnam MO",4979,1 
"29173","06","Ralls MO",10167,1 
"29175","04","Randolph MO",25414,1 
"29177","05","Ray MO",23494,1 
"29179","08","Reynolds MO",6696,1 
"29181","08","Ripley MO",14100,1 
"29183","02","St. Charles MO",134878,0.374 
"29183","03","St. Charles MO",225607,0.626 
"29185","04","St. Clair MO",9805,1 
"29186","08","Ste. Genevieve MO",18145,1 
"29187","08","St. Francois MO",65359,1 
"29189","01","St. Louis MO",429324,0.43 
"29189","02","St. Louis MO",569630,0.57 
"29195","05","Saline MO",23370,1 
"29197","06","Schuyler MO",4431,1 
"29199","06","Scotland MO",4843,1 
"29201","08","Scott MO",39191,1 
"29203","08","Shannon MO",8441,1 
"29205","06","Shelby MO",6373,1 
"29207","08","Stoddard MO",29968,1 
"29209","07","Stone MO",32202,1 
"29211","06","Sullivan MO",6714,1 
"29213","07","Taney MO",51675,1 
"29215","08","Texas MO",26008,1 
"29217","04","Vernon MO",21159,1 
"29219","03","Warren MO",32513,1 
"29221","08","Washington MO",25195,1 
"29223","08","Wayne MO",13521,1 
"29225","04","Webster MO",28028,0.774 
"29225","07","Webster MO",8174,0.226 
"29227","06","Worth MO",2171,1 
"29229","08","Wright MO",18815,1 
"29510","01","St. Louis city MO",319294,1 
