"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"28001","03","Adams MS",32297,1 
"28003","01","Alcorn MS",37057,1 
"28005","03","Amite MS",13131,1 
"28007","02","Attala MS",19564,1 
"28009","01","Benton MS",8729,1 
"28011","02","Bolivar MS",34145,1 
"28013","01","Calhoun MS",14962,1 
"28015","02","Carroll MS",10597,1 
"28017","01","Chickasaw MS",17392,1 
"28019","01","Choctaw MS",8547,1 
"28021","02","Claiborne MS",9604,1 
"28023","03","Clarke MS",14694,0.878 
"28023","04","Clarke MS",2038,0.122 
"28025","01","Clay MS",20634,1 
"28027","02","Coahoma MS",26151,1 
"28029","02","Copiah MS",29449,1 
"28031","03","Covington MS",19568,1 
"28033","01","DeSoto MS",161252,1 
"28035","04","Forrest MS",74934,1 
"28037","03","Franklin MS",8118,1 
"28039","04","George MS",22578,1 
"28041","04","Greene MS",14400,1 
"28043","02","Grenada MS",21906,1 
"28045","04","Hancock MS",43929,1 
"28047","04","Harrison MS",187105,1 
"28049","02","Hinds MS",214647,0.875 
"28049","03","Hinds MS",30638,0.125 
"28051","02","Holmes MS",19198,1 
"28053","02","Humphreys MS",9375,1 
"28055","02","Issaquena MS",1406,1 
"28057","01","Itawamba MS",23401,1 
"28059","04","Jackson MS",139668,1 
"28061","03","Jasper MS",17062,1 
"28063","02","Jefferson MS",7726,1 
"28065","03","Jefferson Davis MS",12487,1 
"28067","04","Jones MS",67761,1 
"28069","03","Kemper MS",10456,1 
"28071","01","Lafayette MS",47351,1 
"28073","04","Lamar MS",55658,1 
"28075","03","Lauderdale MS",80261,1 
"28077","03","Lawrence MS",12929,1 
"28079","02","Leake MS",23805,1 
"28081","01","Lee MS",82910,1 
"28083","02","Leflore MS",32317,1 
"28085","03","Lincoln MS",34869,1 
"28087","01","Lowndes MS",59779,1 
"28089","02","Madison MS",26942,0.283 
"28089","03","Madison MS",68261,0.717 
"28091","04","Marion MS",27088,1 
"28093","01","Marshall MS",37144,1 
"28095","01","Monroe MS",36989,1 
"28097","02","Montgomery MS",10925,1 
"28099","03","Neshoba MS",29676,1 
"28101","03","Newton MS",21720,1 
"28103","03","Noxubee MS",11545,1 
"28105","01","Oktibbeha MS",3161,0.066 
"28105","03","Oktibbeha MS",44510,0.934 
"28107","02","Panola MS",34707,1 
"28109","04","Pearl River MS",55834,1 
"28111","04","Perry MS",12250,1 
"28113","03","Pike MS",40404,1 
"28115","01","Pontotoc MS",29957,1 
"28117","01","Prentiss MS",25276,1 
"28119","02","Quitman MS",8223,1 
"28121","03","Rankin MS",141617,1 
"28123","03","Scott MS",28264,1 
"28125","02","Sharkey MS",4916,1 
"28127","03","Simpson MS",27503,1 
"28129","03","Smith MS",16491,1 
"28131","04","Stone MS",17786,1 
"28133","02","Sunflower MS",29450,1 
"28135","02","Tallahatchie MS",15378,1 
"28137","01","Tate MS",28886,1 
"28139","01","Tippah MS",22232,1 
"28141","01","Tishomingo MS",19593,1 
"28143","02","Tunica MS",10778,1 
"28145","01","Union MS",27134,1 
"28147","03","Walthall MS",15443,1 
"28149","02","Warren MS",48773,1 
"28151","02","Washington MS",51137,1 
"28153","04","Wayne MS",20747,1 
"28155","01","Webster MS",10253,1 
"28157","03","Wilkinson MS",9878,1 
"28159","01","Winston MS",19198,1 
"28161","02","Yalobusha MS",12678,1 
"28163","02","Yazoo MS",28065,1 
