"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"30001","00","Beaverhead MT",9246,1 
"30003","00","Big Horn MT",12865,1 
"30005","00","Blaine MT",6491,1 
"30007","00","Broadwater MT",5612,1 
"30009","00","Carbon MT",10078,1 
"30011","00","Carter MT",1160,1 
"30013","00","Cascade MT",81327,1 
"30015","00","Chouteau MT",5813,1 
"30017","00","Custer MT",11699,1 
"30019","00","Daniels MT",1751,1 
"30021","00","Dawson MT",8966,1 
"30023","00","Deer Lodge MT",9298,1 
"30025","00","Fallon MT",2890,1 
"30027","00","Fergus MT",11586,1 
"30029","00","Flathead MT",90928,1 
"30031","00","Gallatin MT",89513,1 
"30033","00","Garfield MT",1206,1 
"30035","00","Glacier MT",13399,1 
"30037","00","Golden Valley MT",884,1 
"30039","00","Granite MT",3079,1 
"30041","00","Hill MT",16096,1 
"30043","00","Jefferson MT",11406,1 
"30045","00","Judith Basin MT",2072,1 
"30047","00","Lake MT",28746,1 
"30049","00","Lewis and Clark MT",63395,1 
"30051","00","Liberty MT",2339,1 
"30053","00","Lincoln MT",19687,1 
"30055","00","McCone MT",1734,1 
"30057","00","Madison MT",7691,1 
"30059","00","Meagher MT",1891,1 
"30061","00","Mineral MT",4223,1 
"30063","00","Missoula MT",109299,1 
"30065","00","Musselshell MT",4538,1 
"30067","00","Park MT",15636,1 
"30069","00","Petroleum MT",494,1 
"30071","00","Phillips MT",4253,1 
"30073","00","Pondera MT",6153,1 
"30075","00","Powder River MT",1743,1 
"30077","00","Powell MT",7027,1 
"30079","00","Prairie MT",1179,1 
"30081","00","Ravalli MT",40212,1 
"30083","00","Richland MT",9746,1 
"30085","00","Roosevelt MT",10425,1 
"30087","00","Rosebud MT",9233,1 
"30089","00","Sanders MT",11413,1 
"30091","00","Sheridan MT",3384,1 
"30093","00","Silver Bow MT",34200,1 
"30095","00","Stillwater MT",9117,1 
"30097","00","Sweet Grass MT",3651,1 
"30099","00","Teton MT",6073,1 
"30101","00","Toole MT",5324,1 
"30103","00","Treasure MT",718,1 
"30105","00","Valley MT",7369,1 
"30107","00","Wheatland MT",2168,1 
"30109","00","Wibaux MT",1017,1 
"30111","00","Yellowstone MT",147972,1 
