"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"37001","06","Alamance NC",151131,1 
"37003","05","Alexander NC",37198,1 
"37005","05","Alleghany NC",11155,1 
"37007","09","Anson NC",26948,1 
"37009","05","Ashe NC",27281,1 
"37011","05","Avery NC",17797,1 
"37013","03","Beaufort NC",47759,1 
"37015","01","Bertie NC",21282,1 
"37017","07","Bladen NC",8981,0.255 
"37017","09","Bladen NC",26209,0.745 
"37019","07","Brunswick NC",107431,1 
"37021","10","Buncombe NC",111849,0.469 
"37021","11","Buncombe NC",126469,0.531 
"37023","10","Burke NC",50,0.001 
"37023","11","Burke NC",90862,0.999 
"37025","08","Cabarrus NC",177997,1 
"37025","09","Cabarrus NC",14,0 
"37027","11","Caldwell NC",83029,1 
"37029","03","Camden NC",9980,1 
"37031","03","Carteret NC",66469,1 
"37033","06","Caswell NC",23719,1 
"37035","05","Catawba NC",9499,0.062 
"37035","10","Catawba NC",144856,0.938 
"37035","11","Catawba NC",3,0 
"37037","06","Chatham NC",63505,1 
"37039","11","Cherokee NC",27444,1 
"37041","03","Chowan NC",14793,1 
"37043","11","Clay NC",10587,1 
"37045","10","Cleveland NC",98078,1 
"37047","07","Columbus NC",58098,1 
"37049","03","Craven NC",103505,1 
"37051","08","Cumberland NC",243476,0.762 
"37051","09","Cumberland NC",75955,0.238 
"37053","03","Currituck NC",23547,1 
"37055","03","Dare NC",33920,1 
"37057","13","Davidson NC",162878,1 
"37059","13","Davie NC",41240,1 
"37061","03","Duplin NC",13,0 
"37061","07","Duplin NC",58492,1 
"37063","01","Durham NC",240269,0.898 
"37063","02","Durham NC",26,0 
"37063","04","Durham NC",27292,0.102 
"37065","01","Edgecombe NC",56552,1 
"37067","05","Forsyth NC",350670,1 
"37069","02","Franklin NC",60619,1 
"37071","10","Gaston NC",206086,1 
"37073","01","Gates NC",12197,1 
"37075","11","Graham NC",8861,1 
"37077","01","Granville NC",59916,1 
"37079","03","Greene NC",21362,1 
"37081","06","Guilford NC",162418,0.333 
"37081","13","Guilford NC",325988,0.667 
"37083","01","Halifax NC",54691,1 
"37085","02","Harnett NC",114678,1 
"37087","11","Haywood NC",59036,1 
"37089","11","Henderson NC",106740,1 
"37091","01","Hertford NC",24669,1 
"37093","08","Hoke NC",46942,1 
"37093","09","Hoke NC",10,0 
"37095","03","Hyde NC",5810,1 
"37097","05","Iredell NC",9,0 
"37097","10","Iredell NC",6031,0.038 
"37097","13","Iredell NC",153397,0.962 
"37099","11","Jackson NC",40271,1 
"37101","02","Johnston NC",109332,0.647 
"37101","07","Johnston NC",59546,0.353 
"37103","03","Jones NC",10153,1 
"37105","06","Lee NC",57866,1 
"37107","03","Lenoir NC",59495,1 
"37109","10","Lincoln NC",78265,1 
"37111","11","McDowell NC",44996,1 
"37113","11","Macon NC",33922,1 
"37115","11","Madison NC",20764,1 
"37117","01","Martin NC",24505,1 
"37119","08","Mecklenburg NC",6,0 
"37119","09","Mecklenburg NC",186130,0.202 
"37119","12","Mecklenburg NC",733492,0.798 
"37121","11","Mitchell NC",15579,1 
"37123","08","Montgomery NC",27798,1 
"37125","08","Moore NC",88247,1 
"37127","02","Nash NC",95840,1 
"37129","07","New Hanover NC",202667,1 
"37131","01","Northampton NC",22099,1 
"37133","03","Onslow NC",177772,1 
"37135","04","Orange NC",133779,1 
"37135","06","Orange NC",22,0 
"37137","03","Pamlico NC",13144,1 
"37139","03","Pasquotank NC",40661,1 
"37141","07","Pender NC",52217,1 
"37143","03","Perquimans NC",13453,1 
"37145","06","Person NC",39464,1 
"37147","01","Pitt NC",80880,0.481 
"37147","03","Pitt NC",87268,0.519 
"37149","10","Polk NC",20510,1 
"37151","06","Randolph NC",141752,1 
"37153","09","Richmond NC",46639,1 
"37155","09","Robeson NC",134168,1 
"37157","06","Rockingham NC",93643,1 
"37159","08","Rowan NC",88430,0.639 
"37159","13","Rowan NC",49998,0.361 
"37161","10","Rutherford NC",67810,1 
"37163","07","Sampson NC",63431,1 
"37165","09","Scotland NC",36157,1 
"37167","08","Stanly NC",60585,1 
"37169","05","Stokes NC",47401,1 
"37171","05","Surry NC",73673,1 
"37173","11","Swain NC",13981,1 
"37175","11","Transylvania NC",33090,1 
"37177","03","Tyrrell NC",4407,1 
"37179","09","Union NC",201292,1 
"37181","01","Vance NC",45422,1 
"37183","02","Wake NC",328583,0.365 
"37183","04","Wake NC",572410,0.635 
"37185","01","Warren NC",20972,1 
"37187","01","Washington NC",13228,1 
"37189","05","Watauga NC",51079,1 
"37191","07","Wayne NC",122623,1 
"37193","05","Wilkes NC",69336,1 
"37193","11","Wilkes NC",4,0 
"37195","01","Wilson NC",56787,0.699 
"37195","02","Wilson NC",24447,0.301 
"37197","05","Yadkin NC",38406,1 
"37199","11","Yancey NC",17818,1 
