"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"38001","00","Adams ND",2343,1 
"38003","00","Barnes ND",11066,1 
"38005","00","Benson ND",6660,1 
"38007","00","Billings ND",783,1 
"38009","00","Bottineau ND",6429,1 
"38011","00","Bowman ND",3151,1 
"38013","00","Burke ND",1968,1 
"38015","00","Burleigh ND",81308,1 
"38017","00","Cass ND",149778,1 
"38019","00","Cavalier ND",3993,1 
"38021","00","Dickey ND",5289,1 
"38023","00","Divide ND",2071,1 
"38025","00","Dunn ND",3536,1 
"38027","00","Eddy ND",2385,1 
"38029","00","Emmons ND",3550,1 
"38031","00","Foster ND",3343,1 
"38033","00","Golden Valley ND",1680,1 
"38035","00","Grand Forks ND",66861,1 
"38037","00","Grant ND",2394,1 
"38039","00","Griggs ND",2420,1 
"38041","00","Hettinger ND",2477,1 
"38043","00","Kidder ND",2435,1 
"38045","00","LaMoure ND",4139,1 
"38047","00","Logan ND",1990,1 
"38049","00","McHenry ND",5395,1 
"38051","00","McIntosh ND",2809,1 
"38053","00","McKenzie ND",6360,1 
"38055","00","McLean ND",8962,1 
"38057","00","Mercer ND",8424,1 
"38059","00","Morton ND",27471,1 
"38061","00","Mountrail ND",7673,1 
"38063","00","Nelson ND",3126,1 
"38065","00","Oliver ND",1846,1 
"38067","00","Pembina ND",7413,1 
"38069","00","Pierce ND",4357,1 
"38071","00","Ramsey ND",11451,1 
"38073","00","Ransom ND",5457,1 
"38075","00","Renville ND",2470,1 
"38077","00","Richland ND",16321,1 
"38079","00","Rolette ND",13937,1 
"38081","00","Sargent ND",3829,1 
"38083","00","Sheridan ND",1321,1 
"38085","00","Sioux ND",4153,1 
"38087","00","Slope ND",727,1 
"38089","00","Stark ND",24199,1 
"38091","00","Steele ND",1975,1 
"38093","00","Stutsman ND",21100,1 
"38095","00","Towner ND",2246,1 
"38097","00","Traill ND",8121,1 
"38099","00","Walsh ND",11119,1 
"38101","00","Ward ND",61675,1 
"38103","00","Wells ND",4207,1 
"38105","00","Williams ND",22398,1 
