"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"31001","03","Adams NE",31364,1 
"31003","03","Antelope NE",6685,1 
"31005","03","Arthur NE",460,1 
"31007","03","Banner NE",690,1 
"31009","03","Blaine NE",478,1 
"31011","03","Boone NE",5505,1 
"31013","03","Box Butte NE",11308,1 
"31015","03","Boyd NE",2099,1 
"31017","03","Brown NE",3145,1 
"31019","03","Buffalo NE",46102,1 
"31021","01","Burt NE",6858,1 
"31023","01","Butler NE",8395,1 
"31025","01","Cass NE",25241,1 
"31027","03","Cedar NE",8852,1 
"31029","03","Chase NE",3966,1 
"31031","03","Cherry NE",5713,1 
"31033","03","Cheyenne NE",9998,1 
"31035","03","Clay NE",6542,1 
"31037","01","Colfax NE",10515,1 
"31039","01","Cuming NE",9139,1 
"31041","03","Custer NE",10939,1 
"31043","03","Dakota NE",21006,1 
"31045","03","Dawes NE",9182,1 
"31047","03","Dawson NE",24326,1 
"31049","03","Deuel NE",1941,1 
"31051","01","Dixon NE",273,0.045 
"31051","03","Dixon NE",5727,0.954 
"31053","01","Dodge NE",36691,1 
"31055","02","Douglas NE",517110,1 
"31057","03","Dundy NE",2008,1 
"31059","03","Fillmore NE",5890,1 
"31061","03","Franklin NE",3225,1 
"31063","03","Frontier NE",2756,1 
"31065","03","Furnas NE",4959,1 
"31067","03","Gage NE",22311,1 
"31069","03","Garden NE",2057,1 
"31071","03","Garfield NE",2049,1 
"31073","03","Gosper NE",2044,1 
"31075","03","Grant NE",614,1 
"31077","03","Greeley NE",2538,1 
"31079","03","Hall NE",58607,1 
"31081","03","Hamilton NE",9124,1 
"31083","03","Harlan NE",3423,1 
"31085","03","Hayes NE",967,1 
"31087","03","Hitchcock NE",2908,1 
"31089","03","Holt NE",10435,1 
"31091","03","Hooker NE",736,1 
"31093","03","Howard NE",6274,1 
"31095","03","Jefferson NE",7547,1 
"31097","03","Johnson NE",5217,1 
"31099","03","Kearney NE",6489,1 
"31101","03","Keith NE",8368,1 
"31103","03","Keya Paha NE",824,1 
"31105","03","Kimball NE",3821,1 
"31107","03","Knox NE",8701,1 
"31109","01","Lancaster NE",285407,1 
"31111","03","Lincoln NE",36288,1 
"31113","03","Logan NE",763,1 
"31115","03","Loup NE",632,1 
"31117","03","McPherson NE",539,1 
"31119","01","Madison NE",34876,1 
"31121","03","Merrick NE",7845,1 
"31123","03","Morrill NE",5042,1 
"31125","03","Nance NE",3735,1 
"31127","03","Nemaha NE",7248,1 
"31129","03","Nuckolls NE",4500,1 
"31131","01","Otoe NE",15740,1 
"31133","03","Pawnee NE",2773,1 
"31135","03","Perkins NE",2970,1 
"31137","03","Phelps NE",9188,1 
"31139","03","Pierce NE",7266,1 
"31141","01","Platte NE",32237,1 
"31143","01","Polk NE",5406,1 
"31145","03","Red Willow NE",11055,1 
"31147","03","Richardson NE",8363,1 
"31149","03","Rock NE",1526,1 
"31151","03","Saline NE",14200,1 
"31153","01","Sarpy NE",67169,0.423 
"31153","02","Sarpy NE",91671,0.577 
"31155","01","Saunders NE",20780,1 
"31157","03","Scotts Bluff NE",36970,1 
"31159","01","Seward NE",16750,1 
"31161","03","Sheridan NE",5469,1 
"31163","03","Sherman NE",3152,1 
"31165","03","Sioux NE",1311,1 
"31167","01","Stanton NE",6129,1 
"31169","03","Thayer NE",5228,1 
"31171","03","Thomas NE",647,1 
"31173","01","Thurston NE",6940,1 
"31175","03","Valley NE",4260,1 
"31177","01","Washington NE",20234,1 
"31179","03","Wayne NE",9595,1 
"31181","03","Webster NE",3812,1 
"31183","03","Wheeler NE",818,1 
"31185","03","York NE",13665,1 
