"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"34001","02","Atlantic NJ",274549,1 
"34003","05","Bergen NJ",526098,0.581 
"34003","08","Bergen NJ",13835,0.015 
"34003","09","Bergen NJ",365183,0.403 
"34005","01","Burlington NJ",26538,0.059 
"34005","02","Burlington NJ",2130,0.005 
"34005","03","Burlington NJ",420066,0.936 
"34007","01","Camden NJ",503008,0.979 
"34007","02","Camden NJ",10649,0.021 
"34009","02","Cape May NJ",97265,1 
"34011","02","Cumberland NJ",156898,1 
"34013","07","Essex NJ",20175,0.026 
"34013","08","Essex NJ",159680,0.204 
"34013","10","Essex NJ",418251,0.534 
"34013","11","Essex NJ",185863,0.237 
"34015","01","Gloucester NJ",203118,0.705 
"34015","02","Gloucester NJ",85170,0.295 
"34017","08","Hudson NJ",434165,0.685 
"34017","09","Hudson NJ",34376,0.054 
"34017","10","Hudson NJ",165725,0.261 
"34019","07","Hunterdon NJ",128349,1 
"34021","04","Mercer NJ",102106,0.279 
"34021","12","Mercer NJ",264407,0.721 
"34023","06","Middlesex NJ",508761,0.628 
"34023","12","Middlesex NJ",301097,0.372 
"34025","04","Monmouth NJ",406484,0.645 
"34025","06","Monmouth NJ",223896,0.355 
"34027","07","Morris NJ",124775,0.253 
"34027","11","Morris NJ",367501,0.747 
"34029","02","Ocean NJ",39917,0.069 
"34029","03","Ocean NJ",312483,0.542 
"34029","04","Ocean NJ",224167,0.389 
"34031","05","Passaic NJ",38067,0.076 
"34031","09","Passaic NJ",333090,0.665 
"34031","11","Passaic NJ",130069,0.26 
"34033","02","Salem NJ",66083,1 
"34035","07","Somerset NJ",235835,0.729 
"34035","12","Somerset NJ",87609,0.271 
"34037","05","Sussex NJ",100040,0.67 
"34037","11","Sussex NJ",49225,0.33 
"34039","06","Union NJ",1,0 
"34039","07","Union NJ",183323,0.342 
"34039","08","Union NJ",124969,0.233 
"34039","10","Union NJ",148662,0.277 
"34039","12","Union NJ",79544,0.148 
"34041","05","Warren NJ",68467,0.63 
"34041","07","Warren NJ",40225,0.37 
