"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"36001","20","Albany NY",304204,1 
"36003","23","Allegany NY",48946,1 
"36005","13","Bronx NY",186192,0.134 
"36005","14","Bronx NY",238807,0.172 
"36005","15","Bronx NY",717708,0.518 
"36005","16","Bronx NY",242401,0.175 
"36007","19","Broome NY",2311,0.012 
"36007","22","Broome NY",198289,0.988 
"36009","23","Cattaraugus NY",80317,1 
"36011","24","Cayuga NY",80026,1 
"36013","23","Chautauqua NY",134905,1 
"36015","23","Chemung NY",88830,1 
"36017","22","Chenango NY",50477,1 
"36019","21","Clinton NY",82128,1 
"36021","19","Columbia NY",63096,1 
"36023","22","Cortland NY",49336,1 
"36025","19","Delaware NY",47980,1 
"36027","18","Dutchess NY",177398,0.596 
"36027","19","Dutchess NY",120090,0.404 
"36029","26","Erie NY",635963,0.692 
"36029","27","Erie NY",283077,0.308 
"36031","21","Essex NY",39370,1 
"36033","21","Franklin NY",51599,1 
"36035","21","Fulton NY",55531,1 
"36037","27","Genesee NY",60079,1 
"36039","19","Greene NY",49221,1 
"36041","21","Hamilton NY",4836,1 
"36043","21","Herkimer NY",9544,0.148 
"36043","22","Herkimer NY",54975,0.852 
"36045","21","Jefferson NY",116229,1 
"36047","07","Kings NY",504423,0.201 
"36047","08","Kings NY",670533,0.268 
"36047","09","Kings NY",717708,0.287 
"36047","10","Kings NY",298906,0.119 
"36047","11","Kings NY",248978,0.099 
"36047","12","Kings NY",64152,0.026 
"36049","21","Lewis NY",27087,1 
"36051","27","Livingston NY",65393,1 
"36053","22","Madison NY",73442,1 
"36055","25","Monroe NY",717707,0.964 
"36055","27","Monroe NY",26637,0.036 
"36057","19","Montgomery NY",15613,0.311 
"36057","20","Montgomery NY",34606,0.689 
"36059","02","Nassau NY",182328,0.136 
"36059","03","Nassau NY",357232,0.267 
"36059","04","Nassau NY",717708,0.536 
"36059","05","Nassau NY",82264,0.061 
"36061","07","New York NY",97777,0.062 
"36061","10","New York NY",418801,0.264 
"36061","12","New York NY",537780,0.339 
"36061","13","New York NY",531515,0.335 
"36063","26","Niagara NY",81744,0.378 
"36063","27","Niagara NY",134725,0.622 
"36065","22","Oneida NY",234878,1 
"36067","24","Onondaga NY",467026,1 
"36069","23","Ontario NY",45173,0.419 
"36069","27","Ontario NY",62758,0.581 
"36071","18","Orange NY",372813,1 
"36073","27","Orleans NY",42883,1 
"36075","22","Oswego NY",45226,0.37 
"36075","24","Oswego NY",76883,0.63 
"36077","19","Otsego NY",62259,1 
"36079","18","Putnam NY",99710,1 
"36081","03","Queens NY",120212,0.054 
"36081","05","Queens NY",635444,0.285 
"36081","06","Queens NY",717707,0.322 
"36081","07","Queens NY",115508,0.052 
"36081","08","Queens NY",47175,0.021 
"36081","12","Queens NY",115775,0.052 
"36081","14","Queens NY",478901,0.215 
"36083","19","Rensselaer NY",64349,0.404 
"36083","20","Rensselaer NY",95080,0.596 
"36085","11","Richmond NY",468730,1 
"36087","17","Rockland NY",311687,1 
"36089","21","St. Lawrence NY",111944,1 
"36091","20","Saratoga NY",129091,0.588 
"36091","21","Saratoga NY",90516,0.412 
"36093","20","Schenectady NY",154727,1 
"36095","19","Schoharie NY",32749,1 
"36097","23","Schuyler NY",18343,1 
"36099","23","Seneca NY",35251,1 
"36101","23","Steuben NY",98990,1 
"36103","01","Suffolk NY",717707,0.481 
"36103","02","Suffolk NY",535380,0.359 
"36103","03","Suffolk NY",240263,0.161 
"36105","19","Sullivan NY",77547,1 
"36107","22","Tioga NY",11085,0.217 
"36107","23","Tioga NY",40040,0.783 
"36109","23","Tompkins NY",101564,1 
"36111","19","Ulster NY",182493,1 
"36113","21","Warren NY",65707,1 
"36115","21","Washington NY",63216,1 
"36117","24","Wayne NY",93772,1 
"36119","16","Westchester NY",475306,0.501 
"36119","17","Westchester NY",406021,0.428 
"36119","18","Westchester NY",67786,0.071 
"36121","27","Wyoming NY",42155,1 
"36123","23","Yates NY",25348,1 
