"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"39001","02","Adams OH",28550,1 
"39003","04","Allen OH",106331,1 
"39005","07","Ashland OH",53139,1 
"39007","14","Ashtabula OH",101497,1 
"39009","06","Athens OH",4149,0.064 
"39009","15","Athens OH",60608,0.936 
"39011","04","Auglaize OH",45949,1 
"39013","06","Belmont OH",70400,1 
"39015","02","Brown OH",44846,1 
"39017","08","Butler OH",368130,1 
"39019","06","Carroll OH",28836,1 
"39021","04","Champaign OH",40097,1 
"39023","08","Clark OH",138333,1 
"39025","02","Clermont OH",197363,1 
"39027","15","Clinton OH",42040,1 
"39029","06","Columbiana OH",107841,1 
"39031","07","Coshocton OH",36901,1 
"39033","04","Crawford OH",43784,1 
"39035","09","Cuyahoga OH",283639,0.222 
"39035","11","Cuyahoga OH",621401,0.485 
"39035","14","Cuyahoga OH",104689,0.082 
"39035","16","Cuyahoga OH",270393,0.211 
"39037","08","Darke OH",52959,1 
"39039","05","Defiance OH",39037,1 
"39041","12","Delaware OH",174214,1 
"39043","04","Erie OH",11786,0.153 
"39043","09","Erie OH",65293,0.847 
"39045","15","Fairfield OH",146156,1 
"39047","10","Fayette OH",24306,0.837 
"39047","15","Fayette OH",4724,0.163 
"39049","03","Franklin OH",721046,0.62 
"39049","12","Franklin OH",203964,0.175 
"39049","15","Franklin OH",238404,0.205 
"39051","05","Fulton OH",42698,1 
"39053","06","Gallia OH",30934,1 
"39055","14","Geauga OH",93389,1 
"39057","10","Greene OH",161573,1 
"39059","06","Guernsey OH",40087,1 
"39061","01","Hamilton OH",508339,0.634 
"39061","02","Hamilton OH",294035,0.366 
"39063","05","Hancock OH",74782,1 
"39065","05","Hardin OH",32058,1 
"39067","06","Harrison OH",15864,1 
"39069","05","Henry OH",28215,1 
"39071","02","Highland OH",43589,1 
"39073","15","Hocking OH",29380,1 
"39075","07","Holmes OH",42366,1 
"39077","04","Huron OH",31826,0.534 
"39077","07","Huron OH",27800,0.466 
"39079","06","Jackson OH",33225,1 
"39081","06","Jefferson OH",69709,1 
"39083","07","Knox OH",60921,1 
"39085","14","Lake OH",230041,1 
"39087","06","Lawrence OH",62450,1 
"39089","07","Licking OH",5,0 
"39089","12","Licking OH",166487,1 
"39091","04","Logan OH",45858,1 
"39093","04","Lorain OH",114574,0.38 
"39093","07","Lorain OH",83349,0.277 
"39093","09","Lorain OH",103433,0.343 
"39095","05","Lucas OH",194708,0.441 
"39095","09","Lucas OH",247107,0.559 
"39097","15","Madison OH",43435,1 
"39099","06","Mahoning OH",51913,0.217 
"39099","13","Mahoning OH",186910,0.783 
"39101","04","Marion OH",58498,0.88 
"39101","12","Marion OH",8003,0.12 
"39103","07","Medina OH",59690,0.346 
"39103","16","Medina OH",112642,0.654 
"39105","06","Meigs OH",23770,1 
"39107","04","Mercer OH",2917,0.071 
"39107","05","Mercer OH",21063,0.516 
"39107","08","Mercer OH",16834,0.412 
"39109","08","Miami OH",102506,1 
"39111","06","Monroe OH",14642,1 
"39113","10","Montgomery OH",535153,1 
"39115","15","Morgan OH",15054,1 
"39117","12","Morrow OH",34827,1 
"39119","06","Muskingum OH",27273,0.317 
"39119","12","Muskingum OH",58801,0.683 
"39121","06","Noble OH",14645,1 
"39123","05","Ottawa OH",19868,0.48 
"39123","09","Ottawa OH",21560,0.52 
"39125","05","Paulding OH",19614,1 
"39127","15","Perry OH",36058,1 
"39129","15","Pickaway OH",55698,1 
"39131","02","Pike OH",28709,1 
"39133","13","Portage OH",92483,0.573 
"39133","14","Portage OH",36357,0.225 
"39133","16","Portage OH",32579,0.202 
"39135","08","Preble OH",42270,1 
"39137","05","Putnam OH",34499,1 
"39139","07","Richland OH",49746,0.4 
"39139","12","Richland OH",74729,0.6 
"39141","02","Ross OH",42041,0.539 
"39141","15","Ross OH",36023,0.461 
"39143","04","Sandusky OH",60944,1 
"39145","02","Scioto OH",41898,0.527 
"39145","06","Scioto OH",37601,0.473 
"39147","04","Seneca OH",56745,1 
"39149","04","Shelby OH",49423,1 
"39151","07","Stark OH",240454,0.64 
"39151","13","Stark OH",27789,0.074 
"39151","16","Stark OH",107343,0.286 
"39153","11","Summit OH",99631,0.184 
"39153","13","Summit OH",226553,0.418 
"39153","14","Summit OH",132043,0.244 
"39153","16","Summit OH",83554,0.154 
"39155","13","Trumbull OH",187296,0.891 
"39155","14","Trumbull OH",23016,0.109 
"39157","06","Tuscarawas OH",25915,0.28 
"39157","07","Tuscarawas OH",66667,0.72 
"39159","04","Union OH",52300,1 
"39161","05","Van Wert OH",28744,1 
"39163","15","Vinton OH",13435,1 
"39165","01","Warren OH",212693,1 
"39167","06","Washington OH",61778,1 
"39169","16","Wayne OH",114520,1 
"39171","05","Williams OH",37642,1 
"39173","05","Wood OH",125488,1 
"39175","05","Wyandot OH",22615,1 
