"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"40001","02","Adair OK",22683,1 
"40003","03","Alfalfa OK",5642,1 
"40005","02","Atoka OK",14182,1 
"40007","03","Beaver OK",5636,1 
"40009","03","Beckham OK",22119,1 
"40011","03","Blaine OK",11943,1 
"40013","02","Bryan OK",42416,1 
"40015","03","Caddo OK",29600,1 
"40017","03","Canadian OK",96588,0.836 
"40017","04","Canadian OK",18953,0.164 
"40019","04","Carter OK",47557,1 
"40021","02","Cherokee OK",46987,1 
"40023","02","Choctaw OK",15205,1 
"40025","03","Cimarron OK",2475,1 
"40027","04","Cleveland OK",255755,1 
"40029","02","Coal OK",5925,1 
"40031","04","Comanche OK",124098,1 
"40033","04","Cotton OK",6193,1 
"40035","02","Craig OK",15029,1 
"40037","01","Creek OK",7054,0.101 
"40037","03","Creek OK",62913,0.899 
"40039","03","Custer OK",27469,1 
"40041","02","Delaware OK",41487,1 
"40043","03","Dewey OK",4810,1 
"40045","03","Ellis OK",4151,1 
"40047","03","Garfield OK",60580,1 
"40049","04","Garvin OK",27576,1 
"40051","04","Grady OK",52431,1 
"40053","03","Grant OK",4527,1 
"40055","03","Greer OK",6239,1 
"40057","03","Harmon OK",2922,1 
"40059","03","Harper OK",3685,1 
"40061","02","Haskell OK",12769,1 
"40063","02","Hughes OK",14003,1 
"40065","03","Jackson OK",26446,1 
"40067","04","Jefferson OK",6472,1 
"40069","02","Johnston OK",10957,1 
"40071","03","Kay OK",46562,1 
"40073","03","Kingfisher OK",15034,1 
"40075","03","Kiowa OK",9446,1 
"40077","02","Latimer OK",11154,1 
"40079","02","Le Flore OK",50384,1 
"40081","03","Lincoln OK",34273,1 
"40083","03","Logan OK",41848,1 
"40085","04","Love OK",9423,1 
"40087","04","McClain OK",34506,1 
"40089","02","McCurtain OK",33151,1 
"40091","02","McIntosh OK",20252,1 
"40093","03","Major OK",7527,1 
"40095","02","Marshall OK",15840,1 
"40097","02","Mayes OK",41259,1 
"40099","04","Murray OK",13488,1 
"40101","02","Muskogee OK",70990,1 
"40103","03","Noble OK",11561,1 
"40105","02","Nowata OK",10536,1 
"40107","02","Okfuskee OK",12191,1 
"40109","04","Oklahoma OK",63286,0.088 
"40109","05","Oklahoma OK",655347,0.912 
"40111","02","Okmulgee OK",40069,1 
"40113","03","Osage OK",47472,1 
"40115","02","Ottawa OK",31848,1 
"40117","03","Pawnee OK",16577,1 
"40119","03","Payne OK",77350,1 
"40121","02","Pittsburg OK",45837,1 
"40123","04","Pontotoc OK",37492,1 
"40125","05","Pottawatomie OK",69442,1 
"40127","02","Pushmataha OK",11572,1 
"40129","03","Roger Mills OK",3647,1 
"40131","01","Rogers OK",15752,0.181 
"40131","02","Rogers OK",71153,0.819 
"40133","05","Seminole OK",25482,1 
"40135","02","Sequoyah OK",42391,1 
"40137","04","Stephens OK",45048,1 
"40139","03","Texas OK",20640,1 
"40141","04","Tillman OK",7992,1 
"40143","01","Tulsa OK",603403,1 
"40145","01","Wagoner OK",73085,1 
"40147","01","Washington OK",50976,1 
"40149","03","Washita OK",11629,1 
"40151","03","Woods OK",8878,1 
"40153","03","Woodward OK",20081,1 
