"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"41001","02","Baker OR",16134,1 
"41003","04","Benton OR",75575,0.883 
"41003","05","Benton OR",10004,0.117 
"41005","03","Clackamas OR",89120,0.237 
"41005","05","Clackamas OR",286872,0.763 
"41007","01","Clatsop OR",37039,1 
"41009","01","Columbia OR",49351,1 
"41011","04","Coos OR",63043,1 
"41013","02","Crook OR",20978,1 
"41015","04","Curry OR",22364,1 
"41017","02","Deschutes OR",157733,1 
"41019","04","Douglas OR",107667,1 
"41021","02","Gilliam OR",1871,1 
"41023","02","Grant OR",7445,1 
"41025","02","Harney OR",7422,1 
"41027","02","Hood River OR",22346,1 
"41029","02","Jackson OR",203206,1 
"41031","02","Jefferson OR",21720,1 
"41033","02","Josephine OR",53535,0.647 
"41033","04","Josephine OR",29178,0.353 
"41035","02","Klamath OR",66380,1 
"41037","02","Lake OR",7895,1 
"41039","04","Lane OR",351715,1 
"41041","05","Lincoln OR",46034,1 
"41043","04","Linn OR",116672,1 
"41045","02","Malheur OR",31313,1 
"41047","05","Marion OR",315335,1 
"41049","02","Morrow OR",11173,1 
"41051","01","Multnomah OR",50923,0.069 
"41051","03","Multnomah OR",677095,0.921 
"41051","05","Multnomah OR",7316,0.01 
"41053","01","Polk OR",3,0 
"41053","05","Polk OR",75400,1 
"41055","02","Sherman OR",1765,1 
"41057","05","Tillamook OR",25250,1 
"41059","02","Umatilla OR",75889,1 
"41061","02","Union OR",25748,1 
"41063","02","Wallowa OR",7008,1 
"41065","02","Wasco OR",25213,1 
"41067","01","Washington OR",529710,1 
"41069","02","Wheeler OR",1441,1 
"41071","01","Yamhill OR",99191,1 
"41071","05","Yamhill OR",2,0 
