"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"42001","13","Adams PA",101407,1 
"42003","17","Allegheny PA",517660,0.423 
"42003","18","Allegheny PA",705688,0.577 
"42005","15","Armstrong PA",68941,1 
"42007","17","Beaver PA",170539,1 
"42009","13","Bedford PA",49762,1 
"42011","04","Berks PA",18330,0.045 
"42011","06","Berks PA",206802,0.503 
"42011","09","Berks PA",186310,0.453 
"42013","13","Blair PA",127089,1 
"42015","12","Bradford PA",62622,1 
"42017","01","Bucks PA",625249,1 
"42019","15","Butler PA",37763,0.205 
"42019","16","Butler PA",128610,0.699 
"42019","17","Butler PA",17489,0.095 
"42021","13","Cambria PA",50172,0.349 
"42021","15","Cambria PA",93507,0.651 
"42023","15","Cameron PA",5085,1 
"42025","09","Carbon PA",65249,1 
"42027","12","Centre PA",89219,0.579 
"42027","15","Centre PA",64771,0.421 
"42029","06","Chester PA",498886,1 
"42031","15","Clarion PA",39988,1 
"42033","15","Clearfield PA",81642,1 
"42035","12","Clinton PA",39238,1 
"42037","09","Columbia PA",67295,1 
"42039","16","Crawford PA",88765,1 
"42041","10","Cumberland PA",188859,0.802 
"42041","13","Cumberland PA",46547,0.198 
"42043","10","Dauphin PA",268100,1 
"42045","05","Delaware PA",558979,1 
"42047","15","Elk PA",31946,1 
"42049","16","Erie PA",280566,1 
"42051","14","Fayette PA",136606,1 
"42053","15","Forest PA",7716,1 
"42055","13","Franklin PA",149618,1 
"42057","13","Fulton PA",14845,1 
"42059","14","Greene PA",38686,1 
"42061","13","Huntingdon PA",45913,1 
"42063","15","Indiana PA",88880,1 
"42065","15","Jefferson PA",45200,1 
"42067","12","Juniata PA",24636,1 
"42069","08","Lackawanna PA",214437,1 
"42071","11","Lancaster PA",519445,1 
"42073","16","Lawrence PA",91108,1 
"42075","09","Lebanon PA",133568,1 
"42077","07","Lehigh PA",349497,1 
"42079","08","Luzerne PA",269673,0.84 
"42079","09","Luzerne PA",51245,0.16 
"42081","12","Lycoming PA",116111,1 
"42083","15","Mc Kean PA",43450,1 
"42085","16","Mercer PA",116638,1 
"42087","12","Mifflin PA",46682,1 
"42089","07","Monroe PA",58456,0.344 
"42089","08","Monroe PA",111386,0.656 
"42091","01","Montgomery PA",80438,0.101 
"42091","04","Montgomery PA",687357,0.859 
"42091","05","Montgomery PA",32079,0.04 
"42093","09","Montour PA",18267,1 
"42095","07","Northampton PA",297735,1 
"42097","09","Northumberland PA",35464,0.375 
"42097","12","Northumberland PA",59064,0.625 
"42099","12","Perry PA",45969,1 
"42101","02","Philadelphia PA",705688,0.462 
"42101","03","Philadelphia PA",705688,0.462 
"42101","05","Philadelphia PA",114630,0.075 
"42103","08","Pike PA",57369,1 
"42105","12","Potter PA",17457,1 
"42107","09","Schuylkill PA",148289,1 
"42109","12","Snyder PA",39702,1 
"42111","13","Somerset PA",77742,1 
"42113","12","Sullivan PA",6428,1 
"42115","12","Susquehanna PA",43356,1 
"42117","12","Tioga PA",41981,1 
"42119","12","Union PA",44947,1 
"42121","15","Venango PA",54984,1 
"42123","15","Warren PA",41815,1 
"42125","14","Washington PA",207820,1 
"42127","08","Wayne PA",52822,1 
"42129","13","Westmoreland PA",42593,0.117 
"42129","14","Westmoreland PA",322576,0.883 
"42131","12","Wyoming PA",28276,1 
"42133","10","York PA",248729,0.572 
"42133","11","York PA",186243,0.428 
