"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"45001","03","Abbeville SC",25417,1 
"45003","02","Aiken SC",160099,1 
"45005","06","Allendale SC",10419,1 
"45007","03","Anderson SC",187126,1 
"45009","06","Bamberg SC",15987,1 
"45011","02","Barnwell SC",22621,1 
"45013","01","Beaufort SC",148174,0.913 
"45013","06","Beaufort SC",14059,0.087 
"45015","01","Berkeley SC",149751,0.842 
"45015","06","Berkeley SC",28092,0.158 
"45017","06","Calhoun SC",15175,1 
"45019","01","Charleston SC",245876,0.702 
"45019","06","Charleston SC",104333,0.298 
"45021","05","Cherokee SC",55342,1 
"45023","05","Chester SC",33140,1 
"45025","07","Chesterfield SC",46734,1 
"45027","06","Clarendon SC",34971,1 
"45029","01","Colleton SC",529,0.014 
"45029","06","Colleton SC",38363,0.986 
"45031","07","Darlington SC",68681,1 
"45033","07","Dillon SC",32062,1 
"45035","01","Dorchester SC",116436,0.853 
"45035","06","Dorchester SC",20119,0.147 
"45037","03","Edgefield SC",26985,1 
"45039","05","Fairfield SC",23956,1 
"45041","06","Florence SC",15039,0.11 
"45041","07","Florence SC",121846,0.89 
"45043","07","Georgetown SC",60158,1 
"45045","03","Greenville SC",54952,0.122 
"45045","04","Greenville SC",396273,0.878 
"45047","03","Greenwood SC",69661,1 
"45049","06","Hampton SC",21090,1 
"45051","07","Horry SC",269291,1 
"45053","06","Jasper SC",24777,1 
"45055","05","Kershaw SC",61697,1 
"45057","05","Lancaster SC",76652,1 
"45059","03","Laurens SC",66537,1 
"45061","05","Lee SC",19220,1 
"45063","02","Lexington SC",262391,1 
"45065","03","McCormick SC",10233,1 
"45067","07","Marion SC",33062,1 
"45069","07","Marlboro SC",28933,1 
"45071","03","Newberry SC",6484,0.173 
"45071","05","Newberry SC",31024,0.827 
"45073","03","Oconee SC",74273,1 
"45075","02","Orangeburg SC",20438,0.221 
"45075","06","Orangeburg SC",72063,0.779 
"45077","03","Pickens SC",119224,1 
"45079","02","Richland SC",195217,0.508 
"45079","06","Richland SC",189287,0.492 
"45081","03","Saluda SC",19875,1 
"45083","04","Spartanburg SC",264493,0.93 
"45083","05","Spartanburg SC",19814,0.07 
"45085","05","Sumter SC",84887,0.79 
"45085","06","Sumter SC",22569,0.21 
"45087","05","Union SC",28961,1 
"45089","06","Williamsburg SC",34423,1 
"45091","05","York SC",226073,1 
