"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"46003","00","Aurora SD",2710,1 
"46005","00","Beadle SD",17398,1 
"46007","00","Bennett SD",3431,1 
"46009","00","Bon Homme SD",7070,1 
"46011","00","Brookings SD",31965,1 
"46013","00","Brown SD",36531,1 
"46015","00","Brule SD",5255,1 
"46017","00","Buffalo SD",1912,1 
"46019","00","Butte SD",10110,1 
"46021","00","Campbell SD",1466,1 
"46023","00","Charles Mix SD",9129,1 
"46025","00","Clark SD",3691,1 
"46027","00","Clay SD",13864,1 
"46029","00","Codington SD",27227,1 
"46031","00","Corson SD",4050,1 
"46033","00","Custer SD",8216,1 
"46035","00","Davison SD",19504,1 
"46037","00","Day SD",5710,1 
"46039","00","Deuel SD",4364,1 
"46041","00","Dewey SD",5301,1 
"46043","00","Douglas SD",3002,1 
"46045","00","Edmunds SD",4071,1 
"46047","00","Fall River SD",7094,1 
"46049","00","Faulk SD",2364,1 
"46051","00","Grant SD",7356,1 
"46053","00","Gregory SD",4271,1 
"46055","00","Haakon SD",1937,1 
"46057","00","Hamlin SD",5903,1 
"46059","00","Hand SD",3431,1 
"46061","00","Hanson SD",3331,1 
"46063","00","Harding SD",1255,1 
"46065","00","Hughes SD",17022,1 
"46067","00","Hutchinson SD",7343,1 
"46069","00","Hyde SD",1420,1 
"46071","00","Jackson SD",3031,1 
"46073","00","Jerauld SD",2071,1 
"46075","00","Jones SD",1006,1 
"46077","00","Kingsbury SD",5148,1 
"46079","00","Lake SD",11200,1 
"46081","00","Lawrence SD",24097,1 
"46083","00","Lincoln SD",44828,1 
"46085","00","Lyman SD",3755,1 
"46087","00","McCook SD",5618,1 
"46089","00","McPherson SD",2459,1 
"46091","00","Marshall SD",4656,1 
"46093","00","Meade SD",25434,1 
"46095","00","Mellette SD",2048,1 
"46097","00","Miner SD",2389,1 
"46099","00","Minnehaha SD",169468,1 
"46101","00","Moody SD",6486,1 
"46102","00","Oglala Lakota, SD (N)",13586,1 
"46103","00","Pennington SD",100948,1 
"46105","00","Perkins SD",2982,1 
"46107","00","Potter SD",2329,1 
"46109","00","Roberts SD",10149,1 
"46111","00","Sanborn SD",2355,1 
"46115","00","Spink SD",6415,1 
"46117","00","Stanley SD",2966,1 
"46119","00","Sully SD",1373,1 
"46121","00","Todd SD",9612,1 
"46123","00","Tripp SD",5644,1 
"46125","00","Turner SD",8347,1 
"46127","00","Union SD",14399,1 
"46129","00","Walworth SD",5438,1 
"46135","00","Yankton SD",22438,1 
"46137","00","Ziebach SD",2801,1 
