"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"47001","03","Anderson TN",75129,1 
"47003","04","Bedford TN",45058,1 
"47005","07","Benton TN",16394,0.994 
"47005","08","Benton TN",95,0.006 
"47007","04","Bledsoe TN",12876,1 
"47009","02","Blount TN",123010,1 
"47011","03","Bradley TN",27518,0.278 
"47011","04","Bradley TN",71445,0.722 
"47013","02","Campbell TN",5816,0.143 
"47013","03","Campbell TN",34900,0.857 
"47015","06","Cannon TN",13801,1 
"47017","08","Carroll TN",28522,1 
"47019","01","Carter TN",57424,1 
"47021","05","Cheatham TN",28780,0.736 
"47021","06","Cheatham TN",10325,0.264 
"47023","07","Chester TN",17131,1 
"47025","02","Claiborne TN",32213,1 
"47027","06","Clay TN",7861,1 
"47029","01","Cocke TN",35662,1 
"47031","06","Coffee TN",52796,1 
"47033","08","Crockett TN",14586,1 
"47035","06","Cumberland TN",56053,1 
"47037","05","Davidson TN",626681,1 
"47039","07","Decatur TN",11757,1 
"47041","06","DeKalb TN",18723,1 
"47043","05","Dickson TN",49666,1 
"47045","08","Dyer TN",38335,1 
"47047","08","Fayette TN",38413,1 
"47049","06","Fentress TN",17959,1 
"47051","04","Franklin TN",41052,1 
"47053","08","Gibson TN",49683,1 
"47055","07","Giles TN",29485,1 
"47057","02","Grainger TN",22657,1 
"47059","01","Greene TN",68831,1 
"47061","04","Grundy TN",13703,1 
"47063","01","Hamblen TN",62544,1 
"47065","03","Hamilton TN",336463,1 
"47067","01","Hancock TN",6819,1 
"47069","07","Hardeman TN",27253,1 
"47071","07","Hardin TN",26026,1 
"47073","01","Hawkins TN",56833,1 
"47075","08","Haywood TN",18787,1 
"47077","07","Henderson TN",27769,1 
"47079","08","Henry TN",32330,1 
"47081","07","Hickman TN",24690,1 
"47083","07","Houston TN",8426,1 
"47085","07","Humphreys TN",18538,1 
"47087","06","Jackson TN",11638,1 
"47089","01","Jefferson TN",10762,0.209 
"47089","02","Jefferson TN",40645,0.791 
"47091","01","Johnson TN",18244,1 
"47093","02","Knox TN",432226,1 
"47095","08","Lake TN",7832,1 
"47097","08","Lauderdale TN",27815,1 
"47099","07","Lawrence TN",41869,1 
"47101","07","Lewis TN",12161,1 
"47103","04","Lincoln TN",33361,1 
"47105","02","Loudon TN",48556,1 
"47107","03","McMinn TN",52266,1 
"47109","07","McNairy TN",26075,1 
"47111","06","Macon TN",22248,1 
"47113","08","Madison TN",98294,1 
"47115","04","Marion TN",28237,1 
"47117","04","Marshall TN",30617,1 
"47119","04","Maury TN",57180,0.706 
"47119","07","Maury TN",23776,0.294 
"47121","04","Meigs TN",11753,1 
"47123","03","Monroe TN",44519,1 
"47125","07","Montgomery TN",172331,1 
"47127","04","Moore TN",6362,1 
"47129","03","Morgan TN",21987,1 
"47131","08","Obion TN",31807,1 
"47133","06","Overton TN",22083,1 
"47135","07","Perry TN",7915,1 
"47137","06","Pickett TN",5077,1 
"47139","03","Polk TN",16825,1 
"47141","06","Putnam TN",72321,1 
"47143","04","Rhea TN",31809,1 
"47145","03","Roane TN",54181,1 
"47147","06","Robertson TN",66283,1 
"47149","04","Rutherford TN",262604,1 
"47151","03","Scott TN",22228,1 
"47153","04","Sequatchie TN",14112,1 
"47155","01","Sevier TN",89889,1 
"47157","08","Shelby TN",222521,0.24 
"47157","09","Shelby TN",705123,0.76 
"47159","06","Smith TN",19166,1 
"47161","07","Stewart TN",13324,1 
"47163","01","Sullivan TN",156823,1 
"47165","06","Sumner TN",160645,1 
"47167","08","Tipton TN",61081,1 
"47169","06","Trousdale TN",7870,1 
"47171","01","Unicoi TN",18313,1 
"47173","03","Union TN",19109,1 
"47175","04","Van Buren TN",5112,0.921 
"47175","06","Van Buren TN",436,0.079 
"47177","04","Warren TN",39839,1 
"47179","01","Washington TN",122979,1 
"47181","07","Wayne TN",17021,1 
"47183","08","Weakley TN",35021,1 
"47185","06","White TN",25841,1 
"47187","07","Williamson TN",183182,1 
"47189","06","Wilson TN",113993,1 
