"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"48001","05","Anderson TX",58458,1 
"48003","11","Andrews TX",14786,1 
"48005","01","Angelina TX",86771,1 
"48007","27","Aransas TX",23158,1 
"48009","13","Archer TX",9054,1 
"48011","13","Armstrong TX",1901,1 
"48013","28","Atascosa TX",44911,1 
"48015","10","Austin TX",28417,1 
"48017","19","Bailey TX",7165,1 
"48019","21","Bandera TX",20485,1 
"48021","10","Bastrop TX",43410,0.585 
"48021","17","Bastrop TX",812,0.011 
"48021","27","Bastrop TX",29949,0.404 
"48023","13","Baylor TX",3726,1 
"48025","34","Bee TX",31861,1 
"48027","25","Bell TX",34427,0.111 
"48027","31","Bell TX",275808,0.889 
"48029","20","Bexar TX",698488,0.407 
"48029","21","Bexar TX",253319,0.148 
"48029","23","Bexar TX",275373,0.161 
"48029","28","Bexar TX",158356,0.092 
"48029","35","Bexar TX",329237,0.192 
"48031","21","Blanco TX",10497,1 
"48033","19","Borden TX",641,1 
"48035","25","Bosque TX",18212,1 
"48037","04","Bowie TX",92565,1 
"48039","14","Brazoria TX",154890,0.495 
"48039","22","Brazoria TX",158276,0.505 
"48041","17","Brazos TX",194851,1 
"48043","23","Brewster TX",9232,1 
"48045","13","Briscoe TX",1637,1 
"48047","15","Brooks TX",7223,1 
"48049","11","Brown TX",38106,1 
"48051","17","Burleson TX",17187,1 
"48053","25","Burnet TX",42750,1 
"48055","27","Caldwell TX",20233,0.532 
"48055","35","Caldwell TX",17833,0.468 
"48057","27","Calhoun TX",21381,1 
"48059","11","Callahan TX",13544,1 
"48061","34","Cameron TX",406220,1 
"48063","04","Camp TX",12401,1 
"48065","13","Carson TX",6182,1 
"48067","04","Cass TX",30464,1 
"48069","19","Castro TX",8062,1 
"48071","36","Chambers TX",35096,1 
"48073","05","Cherokee TX",50845,1 
"48075","13","Childress TX",7041,1 
"48077","13","Clay TX",10752,1 
"48079","19","Cochran TX",3127,1 
"48081","11","Coke TX",3320,1 
"48083","11","Coleman TX",8895,1 
"48085","03","Collin TX",698488,0.893 
"48085","04","Collin TX",36196,0.046 
"48085","32","Collin TX",47657,0.061 
"48087","13","Collingsworth TX",3057,1 
"48089","10","Colorado TX",20874,1 
"48091","21","Comal TX",77344,0.713 
"48091","35","Comal TX",31128,0.287 
"48093","11","Comanche TX",13974,1 
"48095","11","Concho TX",4087,1 
"48097","13","Cooke TX",38437,1 
"48099","25","Coryell TX",75388,1 
"48101","13","Cottle TX",1505,1 
"48103","23","Crane TX",4375,1 
"48105","23","Crockett TX",3719,1 
"48107","19","Crosby TX",6059,1 
"48109","23","Culberson TX",2398,1 
"48111","13","Dallam TX",6703,1 
"48113","05","Dallas TX",328522,0.139 
"48113","24","Dallas TX",330826,0.14 
"48113","26","Dallas TX",841,0 
"48113","30","Dallas TX",698487,0.295 
"48113","32","Dallas TX",650831,0.275 
"48113","33","Dallas TX",358632,0.151 
"48115","11","Dawson TX",13833,1 
"48117","13","Deaf Smith TX",19372,1 
"48119","04","Delta TX",5231,1 
"48121","24","Denton TX",112782,0.17 
"48121","26","Denton TX",549832,0.83 
"48123","34","DeWitt TX",20097,1 
"48125","13","Dickens TX",2444,1 
"48127","23","Dimmit TX",9996,1 
"48129","13","Donley TX",3677,1 
"48131","15","Duval TX",11782,1 
"48133","11","Eastland TX",18583,1 
"48135","11","Ector TX",137130,1 
"48137","23","Edwards TX",2002,1 
"48139","06","Ellis TX",149610,1 
"48141","16","El Paso TX",698488,0.872 
"48141","23","El Paso TX",102159,0.128 
"48143","11","Erath TX",20356,0.537 
"48143","25","Erath TX",17534,0.463 
"48145","17","Falls TX",17866,1 
"48147","04","Fannin TX",33915,1 
"48149","10","Fayette TX",24554,1 
"48151","19","Fisher TX",3974,1 
"48153","13","Floyd TX",2655,0.412 
"48153","19","Floyd TX",3791,0.588 
"48155","13","Foard TX",1336,1 
"48157","09","Fort Bend TX",145911,0.249 
"48157","22","Fort Bend TX",439464,0.751 
"48159","04","Franklin TX",10605,1 
"48161","17","Freestone TX",19816,1 
"48163","23","Frio TX",17217,1 
"48165","19","Gaines TX",17526,1 
"48167","14","Galveston TX",291309,1 
"48169","19","Garza TX",6461,1 
"48171","21","Gillespie TX",24837,1 
"48173","11","Glasscock TX",1226,1 
"48175","34","Goliad TX",7210,1 
"48177","27","Gonzales TX",13668,0.69 
"48177","34","Gonzales TX",6139,0.31 
"48179","13","Gray TX",22535,1 
"48181","04","Grayson TX",120877,1 
"48183","01","Gregg TX",121730,1 
"48185","08","Grimes TX",26604,1 
"48187","15","Guadalupe TX",108688,0.826 
"48187","35","Guadalupe TX",22845,0.174 
"48189","19","Hale TX",36273,1 
"48191","13","Hall TX",3353,1 
"48193","25","Hamilton TX",8517,1 
"48195","13","Hansford TX",5613,1 
"48197","13","Hardeman TX",4139,1 
"48199","36","Hardin TX",54635,1 
"48201","02","Harris TX",698488,0.171 
"48201","07","Harris TX",698488,0.171 
"48201","08","Harris TX",63087,0.015 
"48201","09","Harris TX",552581,0.135 
"48201","10","Harris TX",248136,0.061 
"48201","18","Harris TX",698488,0.171 
"48201","22","Harris TX",100760,0.025 
"48201","29","Harris TX",698488,0.171 
"48201","36","Harris TX",333943,0.082 
"48203","01","Harrison TX",65631,1 
"48205","13","Hartley TX",6062,1 
"48207","19","Haskell TX",5899,1 
"48209","21","Hays TX",36368,0.231 
"48209","25","Hays TX",38920,0.248 
"48209","35","Hays TX",81819,0.521 
"48211","13","Hemphill TX",3807,1 
"48213","05","Henderson TX",78532,1 
"48215","15","Hidalgo TX",534952,0.69 
"48215","28","Hidalgo TX",128731,0.166 
"48215","34","Hidalgo TX",111086,0.143 
"48217","25","Hill TX",35089,1 
