"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"49001","02","Beaver UT",6629,1 
"49003","01","Box Elder UT",49975,1 
"49005","01","Cache UT",112656,1 
"49007","03","Carbon UT",21403,1 
"49009","01","Daggett UT",1059,1 
"49011","01","Davis UT",196793,0.642 
"49011","02","Davis UT",109686,0.358 
"49013","01","Duchesne UT",18607,1 
"49015","03","Emery UT",10976,1 
"49017","02","Garfield UT",5172,1 
"49019","03","Grand UT",9225,1 
"49021","02","Iron UT",46163,1 
"49023","02","Juab UT",880,0.086 
"49023","04","Juab UT",9366,0.914 
"49025","02","Kane UT",7125,1 
"49027","02","Millard UT",12503,1 
"49029","01","Morgan UT",9469,1 
"49031","02","Piute UT",1556,1 
"49033","01","Rich UT",2264,1 
"49035","02","Salt Lake UT",264896,0.257 
"49035","03","Salt Lake UT",177165,0.172 
"49035","04","Salt Lake UT",587594,0.571 
"49037","03","San Juan UT",14746,1 
"49039","02","Sanpete UT",16448,0.591 
"49039","04","Sanpete UT",11374,0.409 
"49041","02","Sevier UT",20802,1 
"49043","01","Summit UT",36324,1 
"49045","02","Tooele UT",58218,1 
"49047","01","Uintah UT",32588,1 
"49049","03","Utah UT",433927,0.84 
"49049","04","Utah UT",82637,0.16 
"49051","03","Wasatch UT",23530,1 
"49053","02","Washington UT",138115,1 
"49055","02","Wayne UT",2778,1 
"49057","01","Weber UT",231236,1 
