"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"50001","00","Addison VT",36821,1 
"50003","00","Bennington VT",37125,1 
"50005","00","Caledonia VT",31227,1 
"50007","00","Chittenden VT",156545,1 
"50009","00","Essex VT",6306,1 
"50011","00","Franklin VT",47746,1 
"50013","00","Grand Isle VT",6970,1 
"50015","00","Lamoille VT",24475,1 
"50017","00","Orange VT",28936,1 
"50019","00","Orleans VT",27231,1 
"50021","00","Rutland VT",61642,1 
"50023","00","Washington VT",59534,1 
"50025","00","Windham VT",44513,1 
"50027","00","Windsor VT",56670,1 
