"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"53001","04","Adams WA",18728,1 
"53003","05","Asotin WA",21623,1 
"53005","04","Benton WA",175177,1 
"53007","08","Chelan WA",72453,1 
"53009","06","Clallam WA",71404,1 
"53011","03","Clark WA",425363,1 
"53013","05","Columbia WA",4078,1 
"53015","03","Cowlitz WA",102410,1 
"53017","04","Douglas WA",21974,0.572 
"53017","08","Douglas WA",16457,0.428 
"53019","05","Ferry WA",7551,1 
"53021","04","Franklin WA",78163,1 
"53023","05","Garfield WA",2266,1 
"53025","04","Grant WA",89120,1 
"53027","06","Grays Harbor WA",72797,1 
"53029","02","Island WA",78506,1 
"53031","06","Jefferson WA",29872,1 
"53033","01","King WA",263865,0.137 
"53033","07","King WA",627813,0.325 
"53033","08","King WA",389516,0.202 
"53033","09","King WA",650055,0.337 
"53035","06","Kitsap WA",251133,1 
"53037","08","Kittitas WA",40915,1 
"53039","03","Klickitat WA",20318,1 
"53041","03","Lewis WA",75455,1 
"53043","05","Lincoln WA",10570,1 
"53045","06","Mason WA",43969,0.724 
"53045","10","Mason WA",16730,0.276 
"53047","04","Okanogan WA",41120,1 
"53049","03","Pacific WA",20920,1 
"53051","05","Pend Oreille WA",13001,1 
"53053","06","Pierce WA",203273,0.256 
"53053","08","Pierce WA",153127,0.193 
"53053","09","Pierce WA",22426,0.028 
"53053","10","Pierce WA",416399,0.524 
"53055","02","San Juan WA",15769,1 
"53057","01","Skagit WA",50523,0.432 
"53057","02","Skagit WA",66378,0.568 
"53059","03","Skamania WA",11066,1 
"53061","01","Snohomish WA",254969,0.357 
"53061","02","Snohomish WA",413745,0.58 
"53061","07","Snohomish WA",44621,0.063 
"53063","05","Spokane WA",471221,1 
"53065","05","Stevens WA",43531,1 
"53067","03","Thurston WA",12938,0.051 
"53067","10","Thurston WA",239326,0.949 
"53069","03","Wahkiakum WA",3978,1 
"53071","04","Walla Walla WA",4943,0.084 
"53071","05","Walla Walla WA",53838,0.916 
"53073","01","Whatcom WA",102973,0.512 
"53073","02","Whatcom WA",98167,0.488 
"53075","05","Whitman WA",44776,1 
"53077","04","Yakima WA",243231,1 
