"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"55001","03","Adams WI",20875,1 
"55003","07","Ashland WI",16157,1 
"55005","07","Barron WI",45870,1 
"55007","07","Bayfield WI",15014,1 
"55009","08","Brown WI",248007,1 
"55011","03","Buffalo WI",13587,1 
"55013","07","Burnett WI",15457,1 
"55015","08","Calumet WI",48971,1 
"55017","03","Chippewa WI",36398,0.583 
"55017","07","Chippewa WI",26017,0.417 
"55019","07","Clark WI",34690,1 
"55021","05","Columbia WI",3,0 
"55021","06","Columbia WI",56830,1 
"55023","03","Crawford WI",16644,1 
"55025","02","Dane WI",488073,1 
"55027","05","Dodge WI",36500,0.411 
"55027","06","Dodge WI",52259,0.589 
"55029","08","Door WI",27785,1 
"55031","07","Douglas WI",44159,1 
"55033","03","Dunn WI",43857,1 
"55035","03","Eau Claire WI",98736,1 
"55037","07","Florence WI",4423,1 
"55039","06","Fond du Lac WI",101633,1 
"55041","07","Forest WI",9304,1 
"55043","03","Grant WI",51208,1 
"55045","02","Green WI",36842,1 
"55047","06","Green Lake WI",19051,1 
"55049","02","Iowa WI",23687,1 
"55051","07","Iron WI",5916,1 
"55053","03","Jackson WI",18488,0.904 
"55053","07","Jackson WI",1961,0.096 
"55055","05","Jefferson WI",83686,1 
"55057","03","Juneau WI",21011,0.788 
"55057","07","Juneau WI",5653,0.212 
"55059","01","Kenosha WI",166426,1 
"55061","08","Kewaunee WI",20574,1 
"55063","03","La Crosse WI",114638,1 
"55065","02","Lafayette WI",16836,1 
"55067","07","Langlade WI",19977,1 
"55069","07","Lincoln WI",28743,1 
"55071","06","Manitowoc WI",81442,1 
"55073","07","Marathon WI",134063,1 
"55075","08","Marinette WI",41749,1 
"55077","06","Marquette WI",15404,1 
"55078","08","Menominee WI",4232,1 
"55079","01","Milwaukee WI",91640,0.097 
"55079","04","Milwaukee WI",710873,0.75 
"55079","05","Milwaukee WI",143527,0.151 
"55079","06","Milwaukee WI",1695,0.002 
"55081","03","Monroe WI",40004,0.895 
"55081","07","Monroe WI",4669,0.105 
"55083","08","Oconto WI",37660,1 
"55085","07","Oneida WI",35998,1 
"55087","08","Outagamie WI",176695,1 
"55089","06","Ozaukee WI",86395,1 
"55091","03","Pepin WI",7469,1 
"55093","03","Pierce WI",41019,1 
"55095","07","Polk WI",44205,1 
"55097","03","Portage WI",70019,1 
"55099","07","Price WI",14159,1 
"55101","01","Racine WI",195408,1 
"55103","02","Richland WI",3688,0.205 
"55103","03","Richland WI",14333,0.795 
"55105","01","Rock WI",80559,0.502 
"55105","02","Rock WI",79772,0.498 
"55107","07","Rusk WI",14755,1 
"55109","07","St. Croix WI",84345,1 
"55111","02","Sauk WI",61976,1 
"55113","07","Sawyer WI",16557,1 
"55115","08","Shawano WI",41949,1 
"55117","06","Sheboygan WI",115507,1 
"55119","07","Taylor WI",20689,1 
"55121","03","Trempealeau WI",28816,1 
"55123","03","Vernon WI",29773,1 
"55125","07","Vilas WI",21430,1 
"55127","01","Walworth WI",91002,0.89 
"55127","05","Walworth WI",11226,0.11 
"55129","07","Washburn WI",15911,1 
"55131","05","Washington WI",131887,1 
"55133","01","Waukesha WI",85807,0.22 
"55133","05","Waukesha WI",304084,0.78 
"55135","08","Waupaca WI",52410,1 
"55137","06","Waushara WI",24496,1 
"55139","06","Winnebago WI",156153,0.935 
"55139","08","Winnebago WI",10841,0.065 
"55141","03","Wood WI",43977,0.588 
"55141","07","Wood WI",30772,0.412 
