"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"54001","01","Barbour WV",16589,1 
"54003","02","Berkeley WV",104169,1 
"54005","03","Boone WV",24629,1 
"54007","02","Braxton WV",14523,1 
"54009","01","Brooke WV",24069,1 
"54011","03","Cabell WV",96319,1 
"54013","02","Calhoun WV",7627,1 
"54015","02","Clay WV",9386,1 
"54017","01","Doddridge WV",8202,1 
"54019","03","Fayette WV",46039,1 
"54021","01","Gilmer WV",8693,1 
"54023","01","Grant WV",11937,1 
"54025","03","Greenbrier WV",35480,1 
"54027","02","Hampshire WV",23964,1 
"54029","01","Hancock WV",30676,1 
"54031","02","Hardy WV",14025,1 
"54033","01","Harrison WV",69099,1 
"54035","02","Jackson WV",29211,1 
"54037","02","Jefferson WV",53498,1 
"54039","02","Kanawha WV",193063,1 
"54041","02","Lewis WV",16372,1 
"54043","03","Lincoln WV",21720,1 
"54045","03","Logan WV",36743,1 
"54047","03","McDowell WV",22113,1 
"54049","01","Marion WV",56418,1 
"54051","01","Marshall WV",33107,1 
"54053","03","Mason WV",27324,1 
"54055","03","Mercer WV",62264,1 
"54057","01","Mineral WV",28212,1 
"54059","03","Mingo WV",26839,1 
"54061","01","Monongalia WV",96189,1 
"54063","03","Monroe WV",13502,1 
"54065","02","Morgan WV",17541,1 
"54067","03","Nicholas WV",26233,1 
"54069","01","Ohio WV",44443,1 
"54071","02","Pendleton WV",7695,1 
"54073","01","Pleasants WV",7605,1 
"54075","03","Pocahontas WV",8719,1 
"54077","01","Preston WV",33520,1 
"54079","02","Putnam WV",55486,1 
"54081","03","Raleigh WV",78859,1 
"54083","02","Randolph WV",29405,1 
"54085","01","Ritchie WV",10449,1 
"54087","02","Roane WV",14926,1 
"54089","03","Summers WV",13927,1 
"54091","01","Taylor WV",16895,1 
"54093","01","Tucker WV",7141,1 
"54095","01","Tyler WV",9208,1 
"54097","02","Upshur WV",24254,1 
"54099","03","Wayne WV",42481,1 
"54101","03","Webster WV",9154,1 
"54103","01","Wetzel WV",16583,1 
"54105","02","Wirt WV",5717,1 
"54107","01","Wood WV",86956,1 
"54109","03","Wyoming WV",23796,1 
