"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"56001","00","Albany WY",36299,1 
"56003","00","Big Horn WY",11668,1 
"56005","00","Campbell WY",46133,1 
"56007","00","Carbon WY",15885,1 
"56009","00","Converse WY",13833,1 
"56011","00","Crook WY",7083,1 
"56013","00","Fremont WY",40123,1 
"56015","00","Goshen WY",13249,1 
"56017","00","Hot Springs WY",4812,1 
"56019","00","Johnson WY",8569,1 
"56021","00","Laramie WY",91738,1 
"56023","00","Lincoln WY",18106,1 
"56025","00","Natrona WY",75450,1 
"56027","00","Niobrara WY",2484,1 
"56029","00","Park WY",28205,1 
"56031","00","Platte WY",8667,1 
"56033","00","Sheridan WY",29116,1 
"56035","00","Sublette WY",10247,1 
"56037","00","Sweetwater WY",43806,1 
"56039","00","Teton WY",21294,1 
"56041","00","Uinta WY",21118,1 
"56043","00","Washakie WY",8533,1 
"56045","00","Weston WY",7208,1 
